date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191219,4.2,4.26,4.18,4.24,1523267.9,3594722,,,,0,0,0,0,0,0,0
20191220,4.25,4.27,4.22,4.23,1631231.5,3840897,-0.0024,4.66,3.82,0,0,0,0,0,0,0
20191223,4.22,4.24,4.12,4.13,1524854.3,3652802,-0.0236,4.65,3.81,0,0,0,0,0,0,0
20191224,4.13,4.22,4.13,4.22,1328231.7,3177367,0.0218,4.54,3.72,0,0,0,0,0,0,0
20191225,4.22,4.23,4.17,4.19,780269.0,1858601,-0.0071,4.64,3.8,0,0,0,0,0,0,0
20191226,4.18,4.24,4.18,4.23,1019032.1,2422693,0.0095,4.61,3.77,0,0,0,0,0,0,0
20191227,4.23,4.27,4.21,4.21,1427687.5,3370653,-0.0047,4.65,3.81,0,0,0,0,0,0,0
20191230,4.2,4.26,4.14,4.25,1415437.4,3355080,0.0095,4.63,3.79,0,0,0,0,0,0,0
20191231,4.26,4.28,4.23,4.28,1231213.9,2890190,0.0071,4.68,3.82,0,0,0,0,0,0,0
20200102,4.29,4.35,4.29,4.31,2654081.8,6153382,0.007,4.71,3.85,0,0,0,0,0,0,0
20200103,4.32,4.33,4.28,4.32,1302361.1,3025502,0.0023,4.74,3.88,0,0,0,0,0,0,0
20200106,4.3,4.37,4.28,4.33,2164054.4,4996229,0.0023,4.75,3.89,0,0,0,0,0,0,0
20200107,4.32,4.4,4.32,4.38,2012227.8,4607301,0.0115,4.76,3.9,0,0,0,0,0,0,0
20200108,4.37,4.37,4.28,4.28,1910327.6,4421800,-0.0228,4.82,3.94,0,0,0,0,0,0,0
20200109,4.3,4.36,4.3,4.34,1330132.7,3069228,0.014,4.71,3.85,0,0,0,0,0,0,0
20200110,4.35,4.37,4.31,4.35,1175226.2,2711850,0.0023,4.77,3.91,0,0,0,0,0,0,0
20200113,4.36,4.4,4.33,4.4,2223517.0,5077069,0.0115,4.78,3.91,0,0,0,0,0,0,0
20200114,4.39,4.43,4.36,4.38,1817504.4,4132101,-0.0045,4.84,3.96,0,0,0,0,0,0,0
20200115,4.35,4.38,4.3,4.32,1403865.5,3242301,-0.0137,4.82,3.94,0,0,0,0,0,0,0
