date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,4.72,4.81,4.7,4.77,1782565.4,3740803,,,,0,0,0,0,0,0,0
20191218,4.74,4.8,4.74,4.75,1361535.6,2854800,-0.0042,5.25,4.29,0,0,0,0,0,0,0
20191219,4.75,4.81,4.75,4.8,1669596.0,3492200,0.0105,5.22,4.28,0,0,0,0,0,0,0
20191220,4.79,4.84,4.72,4.74,1579825.1,3290809,-0.0125,5.28,4.32,0,0,0,0,0,0,0
20191223,4.7,4.77,4.63,4.64,1310544.8,2789100,-0.0211,5.21,4.27,0,0,0,0,0,0,0
20191224,4.66,4.73,4.66,4.73,977838.3,2082600,0.0194,5.1,4.18,0,0,0,0,0,0,0
20191225,4.73,4.74,4.67,4.72,964944.7,2050800,-0.0021,5.2,4.26,0,0,0,0,0,0,0
20191226,4.71,4.72,4.65,4.7,1205925.6,2575126,-0.0042,5.19,4.25,0,0,0,0,0,0,0
20191227,4.71,4.75,4.65,4.67,1916276.8,4074596,-0.0064,5.17,4.23,0,0,0,0,0,0,0
20191230,4.65,4.67,4.57,4.64,1129655.9,2445191,-0.0064,5.14,4.2,0,0,0,0,0,0,0
20191231,4.64,4.73,4.62,4.7,1359925.1,2897315,0.0129,5.1,4.18,0,0,0,0,0,0,0
20200102,4.75,4.79,4.72,4.77,1355122.9,2846900,0.0149,5.17,4.23,0,0,0,0,0,0,0
20200103,4.77,4.83,4.77,4.81,1852611.2,3861528,0.0084,5.25,4.29,0,0,0,0,0,0,0
20200106,4.82,4.88,4.77,4.83,1859610.6,3854806,0.0042,5.29,4.33,0,0,0,0,0,0,0
20200107,4.83,4.93,4.8,4.92,1944869.2,3975902,0.0186,5.31,4.35,0,0,0,0,0,0,0
20200108,4.88,4.94,4.75,4.79,2453126.4,5074142,-0.0264,5.41,4.43,0,0,0,0,0,0,0
20200109,4.81,4.93,4.8,4.93,2033207.6,4177195,0.0292,5.27,4.31,0,0,0,0,0,0,0
20200110,4.93,4.95,4.84,4.87,1690015.6,3464800,-0.0122,5.42,4.44,0,0,0,0,0,0,0
20200113,4.86,4.91,4.8,4.91,1212564.8,2496300,0.0082,5.36,4.38,0,0,0,0,0,0,0
20200114,4.93,5.15,4.89,5.01,4476274.0,8924619,0.0204,5.4,4.42,0,0,0,0,0,0,0
20200115,4.99,5.02,4.9,4.93,2448237.0,4952554,-0.016,5.51,4.51,0,0,0,0,0,0,0
20200116,4.94,4.94,4.81,4.82,1617990.6,3330555,-0.0223,5.42,4.44,0,0,0,0,0,0,0
20200117,4.85,4.88,4.81,4.83,1151811.7,2379555,0.0021,5.3,4.34,0,0,0,0,0,0,0
20200120,4.85,4.94,4.81,4.93,1854189.6,3808176,0.0207,5.31,4.35,0,0,0,0,0,0,0
20200121,4.84,4.86,4.72,4.74,2037439.0,4240100,-0.0385,5.42,4.44,0,0,0,0,0,0,0
