date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,3.81,3.95,3.8,3.89,5711238.4,14697909,,,,0,0,0,0,0,0,0
20191218,3.9,3.93,3.86,3.89,4025126.8,10350800,0.0,4.28,3.5,0,0,0,0,0,0,0
20191219,3.89,4.02,3.88,4.0,5997877.2,15173504,0.0283,4.28,3.5,0,0,0,0,0,0,0
20191220,3.99,4.01,3.9,3.93,4424685.6,11170178,-0.0175,4.4,3.6,0,0,0,0,0,0,0
20191223,3.9,3.91,3.78,3.8,3610302.8,9453319,-0.0331,4.32,3.54,0,0,0,0,0,0,0
20191224,3.79,3.84,3.76,3.83,2653225.4,6964295,0.0079,4.18,3.42,0,0,0,0,0,0,0
20191225,3.85,4.21,3.82,4.01,15276513.6,37525666,0.047,4.21,3.45,0,0,0,1,0,0,0
20191226,3.99,4.33,3.9,4.25,17543091.2,42563406,0.0599,4.41,3.61,0,0,0,0,0,0,0
20191227,4.23,4.34,4.13,4.13,13490840.0,32008566,-0.0282,4.68,3.82,0,0,0,0,0,0,0
20191230,4.07,4.24,4.04,4.11,8988164.0,21644223,-0.0048,4.54,3.72,0,0,0,0,0,0,0
20191231,4.1,4.16,4.0,4.04,6283544.4,15462826,-0.017,4.52,3.7,0,0,0,0,0,0,0
20200102,4.1,4.37,4.06,4.29,13297603.2,31305290,0.0619,4.44,3.64,0,0,0,0,0,0,0
20200103,4.24,4.46,4.2,4.37,12451228.0,28603362,0.0186,4.72,3.86,0,0,0,0,0,0,0
20200106,4.31,4.48,4.29,4.36,9618520.0,21977638,-0.0023,4.81,3.93,0,0,0,0,0,0,0
20200107,4.37,4.8,4.34,4.68,25421174.4,54572104,0.0734,4.8,3.92,0,0,0,1,0,0,0
20200108,4.58,4.6,4.35,4.35,16934174.4,37786384,-0.0705,5.15,4.21,0,0,0,0,0,0,0
20200109,4.42,4.79,4.41,4.79,21983838.4,46530147,0.1011,4.78,3.91,1,0,1,0,1,0,0
20200110,4.99,4.99,4.56,4.61,26745324.8,56597577,-0.0376,5.27,4.31,0,0,0,0,0,0,0
20200113,4.61,4.67,4.48,4.65,10784033.6,23539921,0.0087,5.07,4.15,0,0,0,0,0,0,0
20200114,4.59,4.67,4.52,4.56,9285757.6,20241073,-0.0194,5.12,4.19,0,0,0,0,0,0,0
20200115,4.55,4.56,4.4,4.44,6878588.0,15438356,-0.0263,5.02,4.1,0,0,0,0,0,0,0
20200116,4.46,4.5,4.36,4.42,5870408.0,13270500,-0.0045,4.88,4.0,0,0,0,0,0,0,0
20200117,4.45,4.51,4.39,4.42,4971398.0,11179441,0.0,4.86,3.98,0,0,0,0,0,0,0
20200120,4.4,4.45,4.29,4.35,6151236.0,14118100,-0.0158,4.86,3.98,0,0,0,0,0,0,0
20200121,4.34,4.43,4.29,4.29,4499282.0,10360700,-0.0138,4.78,3.91,0,0,0,0,0,0,0
20200122,4.29,4.31,4.16,4.24,4525155.2,10702011,-0.0117,4.72,3.86,0,0,0,0,0,0,0
20200123,4.14,4.29,3.98,4.1,6807452.8,16516400,-0.033,4.66,3.82,0,0,0,0,0,0,0
20200203,3.69,3.75,3.69,3.69,2194260.2,5945400,-0.1,4.51,3.69,0,1,0,0,0,1,0
20200204,3.44,3.89,3.44,3.78,6823292.0,18161666,0.0244,4.06,3.32,0,0,0,0,0,0,0
20200205,3.79,3.95,3.75,3.89,5798756.8,14947733,0.0291,4.16,3.4,0,0,0,0,0,0,0
