date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,9.78,10.15,9.6,9.88,46203024.0,47025749,,,,0,0,0,0,0,0,0
20191218,9.75,10.38,9.72,9.97,58119571.2,57760050,0.0091,10.87,8.89,0,0,0,0,0,0,0
20191219,9.87,10.14,9.64,9.97,37884915.2,38610693,0.0,10.97,8.97,0,0,0,0,0,0,0
20191220,9.83,9.92,9.41,9.42,30102288.0,31206115,-0.0552,10.97,8.97,0,0,0,0,0,0,0
20191223,9.3,9.3,8.91,8.96,23420017.6,25764105,-0.0488,10.36,8.48,0,0,0,0,0,0,0
20191224,9.02,9.13,8.9,9.1,16411169.6,18148159,0.0156,9.86,8.06,0,0,0,0,0,0,0
20191225,9.08,9.43,9.05,9.28,28045302.4,30353228,0.0198,10.01,8.19,0,0,0,0,0,0,0
20191226,9.23,9.28,9.05,9.2,19202830.4,20990895,-0.0086,10.21,8.35,0,0,0,0,0,0,0
20191227,9.18,9.25,8.68,8.74,26482628.8,29469414,-0.05,10.12,8.28,0,0,0,0,0,0,0
20191230,8.64,8.82,8.31,8.72,17909734.4,20853421,-0.0023,9.61,7.87,0,0,0,0,0,0,0
20191231,8.71,8.88,8.52,8.72,14040516.8,16185039,0.0,9.59,7.85,0,0,0,0,0,0,0
20200102,8.77,9.0,8.72,8.92,18542334.4,20835197,0.0229,9.59,7.85,0,0,0,0,0,0,0
20200103,8.9,9.0,8.78,8.91,15925675.2,17916257,-0.0011,9.81,8.03,0,0,0,0,0,0,0
20200106,8.86,9.04,8.75,8.9,16801601.6,18853218,-0.0011,9.8,8.02,0,0,0,0,0,0,0
20200107,8.91,9.02,8.85,8.99,19838628.8,22164097,0.0101,9.79,8.01,0,0,0,0,0,0,0
20200108,8.96,8.96,8.63,8.66,19024276.8,21729759,-0.0367,9.89,8.09,0,0,0,0,0,0,0
20200109,8.75,8.97,8.72,8.9,18355073.6,20755657,0.0277,9.53,7.79,0,0,0,0,0,0,0
20200110,8.97,9.08,8.86,9.0,20438344.0,22766079,0.0112,9.79,8.01,0,0,0,0,0,0,0
20200113,9.05,9.15,8.81,9.15,23965987.2,26624299,0.0167,9.9,8.1,0,0,0,0,0,0,0
20200114,9.16,9.22,8.95,8.98,19329764.8,21282379,-0.0186,10.07,8.24,0,0,0,0,0,0,0
20200115,8.98,9.06,8.76,9.05,17046180.8,19182744,0.0078,9.88,8.08,0,0,0,0,0,0,0
20200116,9.0,9.15,8.9,9.11,21737643.2,24054333,0.0066,9.96,8.15,0,0,0,0,0,0,0
20200117,9.18,9.44,9.13,9.32,35921782.4,38619984,0.0231,10.02,8.2,0,0,0,0,0,0,0
20200120,9.35,9.65,9.18,9.62,31492118.4,33446398,0.0322,10.25,8.39,0,0,0,0,0,0,0
20200121,9.67,9.67,9.34,9.46,25880257.6,27299916,-0.0166,10.58,8.66,0,0,0,0,0,0,0
20200122,9.5,9.98,9.16,9.92,41491344.0,42917335,0.0486,10.41,8.51,0,0,0,0,0,0,0
20200123,9.8,9.87,9.22,9.4,34047606.4,35498956,-0.0524,10.91,8.93,0,0,0,0,0,0,0
20200203,8.46,8.46,8.46,8.46,1200389.4,1418900,-0.1,10.34,8.46,0,1,0,0,0,1,0
20200204,7.61,8.3,7.61,7.95,27403468.8,34329735,-0.0603,9.31,7.61,0,0,0,0,0,0,0
20200205,8.05,8.3,7.96,8.11,20943051.2,25745161,0.0201,8.75,7.16,0,0,0,0,0,0,0
20200206,8.08,8.35,7.96,8.34,22778520.0,27796637,0.0284,8.92,7.3,0,0,0,0,0,0,0
20200207,8.23,8.67,8.18,8.6,21644275.2,25691074,0.0312,9.17,7.51,0,0,0,0,0,0,0
20200210,8.51,8.72,8.49,8.65,17430192.0,20269052,0.0058,9.46,7.74,0,0,0,0,0,0,0
20200211,8.67,8.73,8.42,8.54,17466040.0,20410763,-0.0127,9.52,7.78,0,0,0,0,0,0,0
20200212,8.47,8.81,8.46,8.78,21994409.6,25409223,0.0281,9.39,7.69,0,0,0,0,0,0,0
20200213,8.78,9.26,8.61,9.16,36447084.8,40544097,0.0433,9.66,7.9,0,0,0,0,0,0,0
20200214,9.15,9.62,9.03,9.28,36102092.8,38786594,0.0131,10.08,8.24,0,0,0,0,0,0,0
20200217,9.37,9.75,9.26,9.65,37031283.2,38829451,0.0399,10.21,8.35,0,0,0,0,0,0,0
20200218,9.6,10.3,9.5,10.25,52686147.2,53595972,0.0622,10.62,8.68,0,0,0,0,0,0,0
20200219,10.48,11.28,9.96,10.57,86775436.8,81574102,0.0312,11.28,9.22,0,0,0,1,0,0,0
