date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,5.39,5.48,5.35,5.45,6355088.0,11710690,,,,0,0,0,0,0,0,0
20191218,5.44,5.51,5.42,5.45,4467458.4,8168790,0.0,6.0,4.9,0,0,0,0,0,0,0
20191219,5.44,5.5,5.43,5.48,3390879.6,6203700,0.0055,6.0,4.9,0,0,0,0,0,0,0
20191220,5.49,5.62,5.41,5.43,4842706.0,8774275,-0.0091,6.03,4.93,0,0,0,0,0,0,0
20191223,5.42,5.53,5.31,5.32,4196173.2,7754018,-0.0203,5.97,4.89,0,0,0,0,0,0,0
20191224,5.41,5.41,5.32,5.37,2910048.2,5436350,0.0094,5.85,4.79,0,0,0,0,0,0,0
20191225,5.37,5.37,5.32,5.35,2630689.2,4926600,-0.0037,5.91,4.83,0,0,0,0,0,0,0
20191226,5.38,5.44,5.34,5.41,3269711.6,6068500,0.0112,5.88,4.81,0,0,0,0,0,0,0
20191227,5.41,5.44,5.33,5.34,3315040.8,6145153,-0.0129,5.95,4.87,0,0,0,0,0,0,0
20191230,5.36,5.37,5.25,5.36,2912805.4,5478003,0.0037,5.87,4.81,0,0,0,0,0,0,0
20191231,5.38,5.49,5.35,5.48,4440122.4,8163704,0.0224,5.9,4.82,0,0,0,0,0,0,0
20200102,5.53,5.56,5.48,5.55,4543665.2,8200063,0.0128,6.03,4.93,0,0,0,0,0,0,0
20200103,5.55,5.57,5.51,5.53,3206882.6,5803600,-0.0036,6.1,5.0,0,0,0,0,0,0,0
20200106,5.51,5.58,5.45,5.51,4472435.6,8105337,-0.0036,6.08,4.98,0,0,0,0,0,0,0
20200107,5.5,5.66,5.5,5.59,6535215.2,11703564,0.0145,6.06,4.96,0,0,0,0,0,0,0
20200108,5.54,5.65,5.5,5.5,5041667.2,9056700,-0.0161,6.15,5.03,0,0,0,0,0,0,0
20200109,5.55,5.62,5.53,5.56,3511754.8,6302203,0.0109,6.05,4.95,0,0,0,0,0,0,0
20200110,5.56,5.58,5.45,5.47,4331328.0,7880080,-0.0162,6.12,5.0,0,0,0,0,0,0,0
20200113,5.47,5.55,5.42,5.54,4124825.6,7511982,0.0128,6.02,4.92,0,0,0,0,0,0,0
20200114,5.56,5.59,5.53,5.58,3809808.0,6849625,0.0072,6.09,4.99,0,0,0,0,0,0,0
20200115,5.57,5.77,5.55,5.62,9102648.8,16064457,0.0072,6.14,5.02,0,0,0,0,0,0,0
