date,open,high,low,close,amount,vol,gains,max,min,涨跌停,连涨天数,破板
20191213,3.41,3.42,3.37,3.39,2589603.0,7626458,,,,0,0,0
20191216,3.4,3.46,3.39,3.45,3212505.4,9354313,0.0177,3.73,3.05,0,0,0
20191217,3.44,3.52,3.43,3.47,5206694.4,14960455,0.0058,3.8,3.11,0,0,0
20191218,3.48,3.54,3.46,3.5,4321411.2,12344600,0.0086,3.82,3.12,0,0,0
20191219,3.48,3.53,3.46,3.51,3048983.0,8706100,0.0029,3.85,3.15,0,0,0
20191220,3.51,3.54,3.44,3.44,3456608.8,9941000,-0.0199,3.86,3.16,0,0,0
20191223,3.45,3.45,3.3,3.3,5080666.0,15147749,-0.0407,3.78,3.1,0,0,0
20191224,3.31,3.4,3.29,3.38,3154278.4,9403145,0.0242,3.63,2.97,0,0,0
20191225,3.4,3.48,3.37,3.42,3942760.8,11485533,0.0118,3.72,3.04,0,0,0
20191226,3.43,3.49,3.43,3.48,3211419.0,9282758,0.0175,3.76,3.08,0,0,0
20191227,3.48,3.51,3.41,3.43,3295278.8,9487025,-0.0144,3.83,3.13,0,0,0
20191230,3.43,3.47,3.33,3.45,2949835.2,8646300,0.0058,3.77,3.09,0,0,0
20191231,3.45,3.47,3.39,3.41,2362576.4,6901700,-0.0116,3.8,3.11,0,0,0
20200102,3.43,3.48,3.41,3.48,2809131.2,8117567,0.0205,3.75,3.07,0,0,0
20200103,3.51,3.56,3.47,3.53,4215184.0,11999400,0.0144,3.83,3.13,0,0,0
20200106,3.51,3.59,3.48,3.58,4211944.4,11852883,0.0142,3.88,3.18,0,0,0
20200107,3.57,3.59,3.55,3.59,2930983.6,8202600,0.0028,3.94,3.22,0,0,0
20200108,3.57,3.58,3.47,3.47,3790665.6,10761000,-0.0334,3.95,3.23,0,0,0
20200109,3.53,3.62,3.51,3.6,7288289.6,20357320,0.0375,3.82,3.12,0,0,0
20200110,3.59,3.63,3.51,3.54,3913632.0,10978100,-0.0167,3.96,3.24,0,0,0
20200113,3.52,3.58,3.5,3.57,2347853.0,6615000,0.0085,3.89,3.19,0,0,0
20200114,3.58,3.61,3.52,3.53,3135614.8,8799868,-0.0112,3.93,3.21,0,0,0
20200115,3.53,3.57,3.46,3.49,2747261.0,7866800,-0.0113,3.88,3.18,0,0,0
20200116,3.51,3.52,3.41,3.41,3697063.2,10728436,-0.0229,3.84,3.14,0,0,0
20200117,3.44,3.48,3.4,3.41,3453080.4,10047937,0.0,3.75,3.07,0,0,0
20200120,3.34,3.38,3.24,3.37,5302166.4,15996242,-0.0117,3.75,3.07,0,0,0
20200121,3.35,3.42,3.26,3.28,4581335.6,13702922,-0.0267,3.71,3.03,0,0,0
20200122,3.29,3.34,3.19,3.31,3814552.8,11683120,0.0091,3.61,2.95,0,0,0
20200123,3.29,3.34,3.12,3.18,3483940.0,10800907,-0.0393,3.64,2.98,0,0,0
20200203,2.86,2.86,2.86,2.86,366680.6,1282100,-0.1006,3.5,2.86,-1,0,0
20200204,2.59,2.95,2.57,2.88,7737819.2,28883682,0.007,3.15,2.57,0,0,0
20200205,2.95,3.08,2.87,2.97,9422493.6,31676924,0.0313,3.17,2.59,0,0,0
20200206,3.03,3.25,2.94,3.22,10171328.8,32982005,0.0842,3.27,2.67,0,0,0
20200207,3.19,3.19,3.04,3.11,8573712.0,27508939,-0.0342,3.54,2.9,0,0,0
20200210,3.09,3.16,3.05,3.15,6089023.6,19547685,0.0129,3.42,2.8,0,0,0
20200211,3.2,3.2,3.06,3.07,4663691.2,14996739,-0.0254,3.47,2.84,0,0,0
20200212,3.09,3.38,3.06,3.38,14180792.0,42974202,0.101,3.38,2.76,1,1,0
20200213,3.36,3.49,3.19,3.21,16515310.4,49821040,-0.0503,3.72,3.04,0,0,0
20200214,3.15,3.19,3.06,3.1,8829194.4,28288192,-0.0343,3.53,2.89,0,0,0
20200217,3.1,3.18,3.08,3.17,6542375.6,20804457,0.0226,3.41,2.79,0,0,0
20200218,3.17,3.31,3.16,3.3,7876590.4,24418039,0.041,3.49,2.85,0,0,0
20200219,3.27,3.5,3.22,3.38,13259021.6,39335188,0.0242,3.63,2.97,0,0,0
20200220,3.4,3.41,3.28,3.38,9077886.4,27088712,0.0,3.72,3.04,0,0,0
20200221,3.37,3.58,3.34,3.52,13510702.4,39012023,0.0414,3.72,3.04,0,0,0
20200224,3.49,3.69,3.45,3.63,12390174.4,34454245,0.0312,3.87,3.17,0,0,0
20200225,3.51,3.84,3.38,3.69,14700440.0,40977560,0.0165,3.99,3.27,0,0,0
20200226,3.63,4.06,3.6,3.76,22661145.6,58752717,0.019,4.06,3.32,0,1,0
20200227,3.8,3.81,3.51,3.77,12401080.0,33888084,0.0027,4.14,3.38,0,0,0
20200228,3.66,3.96,3.44,3.5,14609395.2,39266402,-0.0716,4.15,3.39,0,0,0
20200302,3.5,3.65,3.4,3.62,11704180.8,33120738,0.0343,3.85,3.15,0,0,0
