date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,4.47,4.54,4.47,4.52,1151377.4,2552477,,,,0,0,0,0,0,0,0
20191218,4.52,4.54,4.49,4.53,1092772.6,2418734,0.0022,4.97,4.07,0,0,0,0,0,0,0
20191219,4.54,4.73,4.53,4.67,3350617.0,7224306,0.0309,4.98,4.08,0,0,0,0,0,0,0
20191220,4.68,4.71,4.56,4.6,2096397.4,4540400,-0.015,5.14,4.2,0,0,0,0,0,0,0
20191223,4.6,4.69,4.56,4.62,2083942.0,4490300,0.0043,5.06,4.14,0,0,0,0,0,0,0
20191224,4.63,4.73,4.58,4.71,1993227.4,4257876,0.0195,5.08,4.16,0,0,0,0,0,0,0
20191225,4.69,4.81,4.65,4.69,1682380.4,3568600,-0.0042,5.18,4.24,0,0,0,0,0,0,0
20191226,4.62,4.68,4.47,4.56,3753783.2,8254640,-0.0277,5.16,4.22,0,0,0,0,0,0,0
20191227,4.56,4.59,4.53,4.58,1175439.9,2578300,0.0044,5.02,4.1,0,0,0,0,0,0,0
20191230,4.48,4.56,4.44,4.55,1771946.6,3950020,-0.0066,5.04,4.12,0,0,0,0,0,0,0
20191231,4.58,4.58,4.47,4.5,943955.4,2096340,-0.011,5.0,4.1,0,0,0,0,0,0,0
20200102,4.58,4.58,4.51,4.54,1312455.9,2890060,0.0089,4.95,4.05,0,0,0,0,0,0,0
20200103,4.55,4.6,4.53,4.58,1416675.4,3098600,0.0088,4.99,4.09,0,0,0,0,0,0,0
20200106,4.59,4.61,4.54,4.58,1660127.4,3622354,0.0,5.04,4.12,0,0,0,0,0,0,0
20200107,4.58,4.65,4.58,4.63,2719779.2,5894518,0.0109,5.04,4.12,0,0,0,0,0,0,0
20200108,4.63,4.65,4.57,4.58,1796208.8,3899900,-0.0108,5.09,4.17,0,0,0,0,0,0,0
20200109,4.6,4.64,4.58,4.61,1792916.8,3896220,0.0066,5.04,4.12,0,0,0,0,0,0,0
20200110,4.6,4.65,4.56,4.61,1082430.7,2357196,0.0,5.07,4.15,0,0,0,0,0,0,0
20200113,4.61,4.62,4.57,4.61,1282108.8,2784820,0.0,5.07,4.15,0,0,0,0,0,0,0
20200114,4.61,4.62,4.57,4.58,1402314.0,3054955,-0.0065,5.07,4.15,0,0,0,0,0,0,0
20200115,4.58,4.58,4.52,4.53,1058612.2,2333520,-0.0109,5.04,4.12,0,0,0,0,0,0,0
20200116,4.52,4.57,4.51,4.56,962703.3,2120969,0.0066,4.98,4.08,0,0,0,0,0,0,0
20200117,4.55,4.61,4.54,4.57,971250.6,2123461,0.0022,5.02,4.1,0,0,0,0,0,0,0
20200120,4.57,4.61,4.55,4.57,1277941.5,2790100,0.0,5.03,4.11,0,0,0,0,0,0,0
20200121,4.62,4.63,4.54,4.59,2751029.2,5998994,0.0044,5.03,4.11,0,0,0,0,0,0,0
20200122,4.57,4.57,4.49,4.55,990734.2,2187500,-0.0087,5.05,4.13,0,0,0,0,0,0,0
20200123,4.52,4.59,4.44,4.52,1794235.0,3966620,-0.0066,5.0,4.1,0,0,0,0,0,0,0
20200203,4.29,4.29,4.29,4.29,183740.7,428300,-0.0509,4.97,4.07,0,0,0,0,0,0,0
20200204,4.08,4.08,4.08,4.08,319790.4,783800,-0.049,4.72,3.86,0,0,0,0,0,0,0
20200205,4.08,4.28,4.06,4.21,2018274.6,4843938,0.0319,4.49,3.67,0,0,0,0,0,0,0
20200206,4.21,4.25,4.13,4.24,1319245.5,3154382,0.0071,4.63,3.79,0,0,0,0,0,0,0
20200207,4.23,4.25,4.18,4.25,818192.4,1945100,0.0024,4.66,3.82,0,0,0,0,0,0,0
20200210,4.25,4.34,4.21,4.34,1148679.1,2691340,0.0212,4.68,3.82,0,0,0,0,0,0,0
20200211,4.34,4.34,4.28,4.3,705425.4,1638220,-0.0092,4.77,3.91,0,0,0,0,0,0,0
20200212,4.31,4.36,4.28,4.31,1018355.8,2362504,0.0023,4.73,3.87,0,0,0,0,0,0,0
20200213,4.3,4.3,4.17,4.19,1022136.9,2420900,-0.0278,4.74,3.88,0,0,0,0,0,0,0
20200214,4.19,4.21,4.12,4.17,793990.1,1908600,-0.0048,4.61,3.77,0,0,0,0,0,0,0
20200217,4.14,4.23,4.14,4.21,1058748.0,2519823,0.0096,4.59,3.75,0,0,0,0,0,0,0
20200218,4.22,4.26,4.21,4.24,1076547.7,2544400,0.0071,4.63,3.79,0,0,0,0,0,0,0
20200219,4.21,4.29,4.2,4.22,1017957.8,2398100,-0.0047,4.66,3.82,0,0,0,0,0,0,0
20200220,4.23,4.26,4.21,4.26,1042563.0,2459100,0.0095,4.64,3.8,0,0,0,0,0,0,0
20200221,4.27,4.42,4.25,4.37,2307530.8,5318100,0.0258,4.69,3.83,0,0,0,0,0,0,0
20200224,4.4,4.45,4.34,4.39,1471138.8,3349040,0.0046,4.81,3.93,0,0,0,0,0,0,0
20200225,4.31,4.37,4.25,4.33,1339653.3,3104620,-0.0137,4.83,3.95,0,0,0,0,0,0,0
20200226,4.32,4.41,4.27,4.36,1545500.4,3544204,0.0069,4.76,3.9,0,0,0,0,0,0,0
20200227,4.36,4.37,4.31,4.34,999614.3,2302700,-0.0046,4.8,3.92,0,0,0,0,0,0,0
20200228,4.28,4.33,4.16,4.19,1384182.0,3258800,-0.0346,4.77,3.91,0,0,0,0,0,0,0
20200302,4.2,4.37,4.2,4.28,1818392.6,4227706,0.0215,4.61,3.77,0,0,0,0,0,0,0
20200303,4.32,4.35,4.27,4.3,1809671.6,4203179,0.0047,4.71,3.85,0,0,0,0,0,0,0
20200304,4.29,4.52,4.26,4.51,4899462.4,10934814,0.0488,4.73,3.87,0,0,0,0,0,0,0
