date,open,high,low,close,amount,vol,gains,max,min,涨跌停,连涨天数,破板
20191206,6.14,6.14,6.01,6.06,2679095.2,4421905,,,,0,0,0
20191209,6.08,6.17,6.01,6.17,2029883.0,3337450,0.0182,6.67,5.45,0,0,0
20191210,6.15,6.25,6.09,6.25,4174166.8,6796107,0.013,6.79,5.55,0,0,0
20191211,6.2,6.26,6.11,6.14,3467664.0,5626657,-0.0176,6.88,5.62,0,0,0
20191212,6.1,6.11,5.88,5.91,3641516.4,6077900,-0.0375,6.75,5.53,0,0,0
20191213,5.91,5.95,5.87,5.92,1578494.4,2669757,0.0017,6.5,5.32,0,0,0
20191216,5.94,6.06,5.91,6.05,1779825.2,2970944,0.022,6.51,5.33,0,0,0
20191217,6.07,6.22,6.05,6.21,3327395.6,5405300,0.0264,6.66,5.44,0,0,0
20191218,6.2,6.24,6.15,6.2,2261337.2,3655750,-0.0016,6.83,5.59,0,0,0
20191219,6.18,6.36,6.17,6.35,3624164.4,5772550,0.0242,6.82,5.58,0,0,0
20191220,6.33,6.52,6.3,6.37,4558140.8,7101938,0.0031,6.98,5.72,0,0,0
20191223,6.41,6.8,6.32,6.58,8706310.4,13158538,0.033,7.01,5.73,0,0,0
20191224,6.64,7.09,6.51,7.01,9771240.0,14238400,0.0653,7.24,5.92,0,0,0
20191225,6.9,7.33,6.88,7.16,7948529.6,11168013,0.0214,7.71,6.31,0,0,0
20191226,7.1,7.35,7.03,7.35,5601537.6,7751598,0.0265,7.88,6.44,0,0,0
20191227,7.36,7.63,7.17,7.27,9093637.6,12313642,-0.0109,8.09,6.62,0,0,0
20200107,8.0,8.0,8.0,8.0,440999.2,551249,0.1004,8.0,6.54,1,1,0
20200108,8.8,8.8,8.8,8.8,2683758.0,3049725,0.1,8.8,7.2,1,2,0
20200109,9.68,9.68,9.68,9.68,4236102.4,4376139,0.1,9.68,7.92,1,3,0
20200110,10.65,10.65,10.51,10.65,46412569.6,43580261,0.1002,10.65,8.71,1,4,0
20200113,11.0,11.6,10.2,10.7,71646720.0,65832885,0.0047,11.72,9.59,0,0,0
20200114,11.11,11.77,10.72,10.98,80779046.4,71367812,0.0262,11.77,9.63,0,1,0
20200115,10.77,10.8,9.88,9.88,48115209.6,47473591,-0.1002,12.08,9.88,-1,0,0
20200116,9.66,9.78,9.27,9.39,31362092.8,33044318,-0.0496,10.87,8.89,0,0,0
20200117,9.3,9.39,8.74,8.86,25008304.0,27617447,-0.0564,10.33,8.45,0,0,0
20200120,9.02,9.07,8.8,8.86,15061982.4,16844127,0.0,9.75,7.97,0,0,0
20200121,8.73,8.76,8.5,8.56,12283680.8,14235934,-0.0339,9.75,7.97,0,0,0
20200122,8.56,8.76,8.5,8.68,11286513.6,13004747,0.014,9.42,7.7,0,0,0
20200123,8.51,8.59,7.98,8.13,12888810.4,15536210,-0.0634,9.55,7.81,0,0,0
20200203,7.32,7.5,7.32,7.32,7972740.8,10876754,-0.0996,8.94,7.32,-1,0,0
20200204,7.25,7.84,7.23,7.69,11851140.8,15787231,0.0505,8.05,6.59,0,0,0
20200205,7.77,7.91,7.51,7.63,10336608.8,13430125,-0.0078,8.46,6.92,0,0,0
20200206,7.59,7.84,7.58,7.78,10380401.6,13485637,0.0197,8.39,6.87,0,0,0
20200207,7.72,8.12,7.67,7.92,12028960.8,15269621,0.018,8.56,7.0,0,0,0
20200210,7.94,8.26,7.84,7.97,11694062.4,14598874,0.0063,8.71,7.13,0,0,0
20200211,7.99,8.25,7.83,8.08,11464750.4,14205800,0.0138,8.77,7.17,0,0,0
20200212,8.13,8.65,8.12,8.56,17391900.8,20592728,0.0594,8.89,7.27,0,0,0
20200213,8.35,8.47,8.07,8.08,12273512.0,14865923,-0.0561,9.42,7.7,0,0,0
20200214,7.94,8.18,7.91,7.99,6707078.0,8363700,-0.0111,8.89,7.27,0,0,0
20200217,8.16,8.34,8.02,8.3,7999046.4,9729450,0.0388,8.79,7.19,0,0,0
20200218,8.28,8.5,8.22,8.43,8594689.6,10269178,0.0157,9.13,7.47,0,0,0
20200219,8.42,8.51,8.16,8.2,7599208.8,9136011,-0.0273,9.27,7.59,0,0,0
20200220,8.23,8.42,8.11,8.36,7239341.6,8756575,0.0195,9.02,7.38,0,0,0
20200221,8.37,8.45,8.24,8.31,7230416.0,8679100,-0.006,9.2,7.52,0,0,0
20200224,8.36,8.39,8.07,8.3,7675050.4,9312227,-0.0012,9.14,7.48,0,0,0
20200225,8.09,8.2,7.68,8.13,9796619.2,12215298,-0.0205,9.13,7.47,0,0,0
20200226,8.12,8.36,7.8,7.89,7711495.2,9509752,-0.0295,8.94,7.32,0,0,0
20200227,7.91,8.05,7.74,7.85,4914392.4,6226350,-0.0051,8.68,7.1,0,0,0
20200228,7.55,7.9,7.15,7.21,7153218.4,9638623,-0.0815,8.64,7.06,0,0,0
20200302,7.25,7.69,7.25,7.54,6158020.0,8133798,0.0458,7.93,6.49,0,0,0
