date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,4.41,4.47,4.39,4.44,1573849.3,3549900,,,,0,0,0,0,0,0,0
20191218,4.45,4.52,4.43,4.47,1707001.0,3821574,0.0068,4.88,4.0,0,0,0,0,0,0,0
20191219,4.46,4.51,4.43,4.49,1432995.6,3206839,0.0045,4.92,4.02,0,0,0,0,0,0,0
20191220,4.49,4.52,4.46,4.46,1481983.7,3300290,-0.0067,4.94,4.04,0,0,0,0,0,0,0
20191223,4.45,4.49,4.32,4.34,1256953.3,2852015,-0.0269,4.91,4.01,0,0,0,0,0,0,0
20191224,4.33,4.45,4.33,4.44,1171738.3,2670232,0.023,4.77,3.91,0,0,0,0,0,0,0
20191225,4.42,4.51,4.4,4.46,1132335.5,2537600,0.0045,4.88,4.0,0,0,0,0,0,0,0
20191226,4.46,4.54,4.45,4.52,1239876.8,2761250,0.0135,4.91,4.01,0,0,0,0,0,0,0
20191227,4.5,4.57,4.46,4.48,1517431.7,3355368,-0.0088,4.97,4.07,0,0,0,0,0,0,0
20191230,4.43,4.54,4.36,4.48,1847339.8,4140325,0.0,4.93,4.03,0,0,0,0,0,0,0
20191231,4.48,4.51,4.44,4.49,1389184.3,3099900,0.0022,4.93,4.03,0,0,0,0,0,0,0
20200102,4.53,4.57,4.48,4.54,1965632.4,4333350,0.0111,4.94,4.04,0,0,0,0,0,0,0
20200103,4.55,4.57,4.52,4.55,1635095.4,3598838,0.0022,4.99,4.09,0,0,0,0,0,0,0
20200106,4.52,4.61,4.5,4.57,2643457.0,5785741,0.0044,5.0,4.1,0,0,0,0,0,0,0
20200107,4.56,4.64,4.56,4.63,1952610.6,4238908,0.0131,5.03,4.11,0,0,0,0,0,0,0
20200108,4.61,4.64,4.53,4.54,2238562.8,4879000,-0.0194,5.09,4.17,0,0,0,0,0,0,0
20200109,4.58,4.64,4.57,4.63,1490165.1,3232908,0.0198,4.99,4.09,0,0,0,0,0,0,0
20200110,4.65,4.72,4.62,4.64,3017834.6,6475086,0.0022,5.09,4.17,0,0,0,0,0,0,0
20200113,4.64,4.68,4.58,4.68,1543575.4,3334756,0.0086,5.1,4.18,0,0,0,0,0,0,0
20200114,4.68,4.72,4.65,4.67,1763434.0,3769800,-0.0021,5.15,4.21,0,0,0,0,0,0,0
20200115,4.67,4.69,4.57,4.59,1972496.8,4266000,-0.0171,5.14,4.2,0,0,0,0,0,0,0
20200116,4.57,4.64,4.52,4.54,1634807.6,3580400,-0.0109,5.05,4.13,0,0,0,0,0,0,0
20200117,4.56,4.63,4.51,4.54,1495208.4,3273586,0.0,4.99,4.09,0,0,0,0,0,0,0
20200120,4.52,4.62,4.52,4.6,1324485.2,2897256,0.0132,4.99,4.09,0,0,0,0,0,0,0
20200121,4.6,4.62,4.51,4.53,1543374.1,3380765,-0.0152,5.06,4.14,0,0,0,0,0,0,0
20200122,4.55,4.56,4.42,4.54,1586831.6,3535603,0.0022,4.98,4.08,0,0,0,0,0,0,0
20200123,4.53,4.57,4.3,4.35,2524140.0,5718094,-0.0419,4.99,4.09,0,0,0,0,0,0,0
20200203,3.92,3.92,3.92,3.92,268559.2,685100,-0.0989,4.78,3.91,0,0,0,0,0,0,0
20200204,3.55,3.83,3.54,3.76,2682611.6,7175750,-0.0408,4.31,3.53,0,0,0,0,0,0,0
20200205,3.74,3.91,3.71,3.84,2795960.0,7306353,0.0213,4.14,3.38,0,0,0,0,0,0,0
20200206,3.85,3.92,3.8,3.89,2535788.0,6565187,0.013,4.22,3.46,0,0,0,0,0,0,0
20200207,3.88,3.99,3.86,3.96,2536078.0,6481816,0.018,4.28,3.5,0,0,0,0,0,0,0
20200210,3.95,4.09,3.92,4.09,1736563.2,4321041,0.0328,4.36,3.56,0,0,0,0,0,0,0
20200211,4.09,4.12,4.02,4.04,1351493.8,3325109,-0.0122,4.5,3.68,0,0,0,0,0,0,0
20200212,4.03,4.12,4.02,4.12,1470316.8,3604091,0.0198,4.44,3.64,0,0,0,0,0,0,0
20200213,4.12,4.14,4.01,4.04,1485232.7,3650432,-0.0194,4.53,3.71,0,0,0,0,0,0,0
20200214,4.07,4.22,4.05,4.1,1976234.6,4798086,0.0149,4.44,3.64,0,0,0,0,0,0,0
20200217,4.11,4.23,4.07,4.22,2038185.8,4872274,0.0293,4.51,3.69,0,0,0,0,0,0,0
20200218,4.24,4.3,4.2,4.29,1829582.4,4296013,0.0166,4.64,3.8,0,0,0,0,0,0,0
20200219,4.27,4.4,4.25,4.33,2196706.2,5078046,0.0093,4.72,3.86,0,0,0,0,0,0,0
20200220,4.3,4.4,4.27,4.4,2420301.8,5569800,0.0162,4.76,3.9,0,0,0,0,0,0,0
20200221,4.4,4.45,4.36,4.42,2314689.2,5248750,0.0045,4.84,3.96,0,0,0,0,0,0,0
