date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191219,9.45,9.57,9.42,9.43,2438621.0,2571150,,,,0,0,0,0,0,0,0
20191220,9.58,9.58,9.16,9.27,3307580.0,3546775,-0.017,10.37,8.49,0,0,0,0,0,0,0
20191223,9.25,9.45,9.04,9.06,2940153.2,3202500,-0.0227,10.2,8.34,0,0,0,0,0,0,0
20191224,9.2,9.2,9.0,9.1,4061250.4,4469100,0.0044,9.97,8.15,0,0,0,0,0,0,0
20191225,9.12,9.23,8.94,9.02,3017435.6,3329800,-0.0088,10.01,8.19,0,0,0,0,0,0,0
20191226,9.02,9.06,8.9,9.03,2623555.6,2915770,0.0011,9.92,8.12,0,0,0,0,0,0,0
20191227,8.97,9.06,8.76,8.79,3294960.8,3711250,-0.0266,9.93,8.13,0,0,0,0,0,0,0
20191230,8.76,8.76,8.55,8.66,3983134.4,4613716,-0.0148,9.67,7.91,0,0,0,0,0,0,0
20191231,8.71,8.71,8.53,8.56,1984439.4,2312610,-0.0115,9.53,7.79,0,0,0,0,0,0,0
20200102,8.64,8.82,8.59,8.7,2733864.8,3143029,0.0164,9.42,7.7,0,0,0,0,0,0,0
20200103,8.67,8.86,8.67,8.69,2921732.0,3338350,-0.0011,9.57,7.83,0,0,0,0,0,0,0
20200106,8.75,8.75,8.38,8.58,4531604.8,5272600,-0.0127,9.56,7.82,0,0,0,0,0,0,0
20200107,8.61,8.84,8.57,8.8,3390454.4,3878389,0.0256,9.44,7.72,0,0,0,0,0,0,0
20200108,8.78,9.1,8.71,8.82,6483251.6,7271968,0.0023,9.68,7.92,0,0,0,0,0,0,0
20200109,8.86,9.02,8.75,8.93,3874386.8,4341450,0.0125,9.7,7.94,0,0,0,0,0,0,0
20200110,8.93,9.0,8.77,8.99,3483396.8,3920858,0.0067,9.82,8.04,0,0,0,0,0,0,0
20200113,8.92,8.98,8.71,8.81,3586523.2,4078083,-0.02,9.89,8.09,0,0,0,0,0,0,0
20200114,8.78,8.8,8.5,8.52,4206630.4,4871866,-0.0329,9.69,7.93,0,0,0,0,0,0,0
20200115,8.58,8.9,8.55,8.68,3107084.0,3575882,0.0188,9.37,7.67,0,0,0,0,0,0,0
20200116,8.66,8.68,8.5,8.51,2061876.4,2405200,-0.0196,9.55,7.81,0,0,0,0,0,0,0
20200117,8.56,8.85,8.45,8.45,1949062.2,2281406,-0.0071,9.36,7.66,0,0,0,0,0,0,0
20200120,8.46,8.55,8.31,8.44,1972518.8,2351368,-0.0012,9.3,7.6,0,0,0,0,0,0,0
20200121,8.43,8.52,8.4,8.46,1212325.6,1431170,0.0024,9.28,7.6,0,0,0,0,0,0,0
20200122,8.38,8.46,8.13,8.4,2067148.4,2482905,-0.0071,9.31,7.61,0,0,0,0,0,0,0
20200123,8.31,8.53,8.08,8.14,2550481.4,3078135,-0.031,9.24,7.56,0,0,0,0,0,0,0
20200203,7.33,8.0,7.33,7.68,7414197.6,9679557,-0.0565,8.95,7.33,0,0,0,0,0,0,0
20200204,6.95,7.95,6.95,7.87,4704385.6,6092131,0.0247,8.45,6.91,0,0,0,0,1,0,0
20200205,7.8,8.5,7.76,8.33,6212011.6,7785918,0.0584,8.66,7.08,0,0,0,0,0,0,0
20200206,8.07,8.5,8.07,8.21,6585924.8,7913043,-0.0144,9.16,7.5,0,0,0,0,0,0,0
20200207,8.87,8.88,8.5,8.57,9474689.6,10902626,0.0438,9.03,7.39,0,0,0,0,0,0,0
20200210,8.45,8.55,8.32,8.4,4289428.0,5093437,-0.0198,9.43,7.71,0,0,0,0,0,0,0
20200211,8.37,8.41,8.07,8.15,3393447.2,4132339,-0.0298,9.24,7.56,0,0,0,0,0,0,0
20200212,8.11,8.2,8.03,8.17,2159648.2,2655302,0.0025,8.97,7.34,0,0,0,0,0,0,0
20200213,8.16,8.17,7.88,7.89,3015662.8,3776500,-0.0343,8.99,7.35,0,0,0,0,0,0,0
20200214,7.89,8.0,7.81,7.83,1960660.8,2485050,-0.0076,8.68,7.1,0,0,0,0,0,0,0
20200217,7.83,8.04,7.81,8.0,2584634.2,3235744,0.0217,8.61,7.05,0,0,0,0,0,0,0
20200218,8.09,8.13,7.98,8.05,3214970.6,3997563,0.0063,8.8,7.2,0,0,0,0,0,0,0
20200219,8.02,8.39,8.0,8.34,6830241.6,8277877,0.036,8.86,7.25,0,0,0,0,0,0,0
20200220,8.29,8.49,8.14,8.35,4498023.6,5416470,0.0012,9.17,7.51,0,0,0,0,0,0,0
20200221,8.35,8.38,8.28,8.33,3746308.4,4494668,-0.0024,9.18,7.52,0,0,0,0,0,0,0
20200224,8.35,8.39,8.23,8.26,5305593.2,6390975,-0.0084,9.16,7.5,0,0,0,0,0,0,0
20200225,8.12,8.14,7.67,8.03,6554026.8,8217547,-0.0278,9.09,7.43,0,0,0,0,0,0,0
20200226,7.89,8.08,7.77,7.8,3507004.0,4433325,-0.0286,8.83,7.23,0,0,0,0,0,0,0
20200227,7.8,8.44,7.72,8.2,8304614.4,10223741,0.0513,8.58,7.02,0,0,0,0,0,0,0
20200228,8.1,8.53,8.0,8.35,12688583.2,15267407,0.0183,9.02,7.38,0,0,0,0,0,0,0
20200302,8.69,8.79,8.3,8.51,12392450.4,14582040,0.0192,9.18,7.52,0,0,0,0,0,0,0
20200303,8.4,8.89,8.35,8.89,14060582.4,16346617,0.0447,9.36,7.66,0,0,0,0,0,0,0
20200304,8.86,9.1,8.69,8.95,12606825.6,14144665,0.0067,9.78,8.0,0,0,0,0,0,0,0
20200305,8.9,9.05,8.83,8.87,8621559.2,9676999,-0.0089,9.85,8.06,0,0,0,0,0,0,0
20200306,8.8,9.12,8.74,8.95,10317579.2,11482700,0.009,9.76,7.98,0,0,0,0,0,0,0
