date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191217,7.02,7.08,6.98,7.06,4939453.6,7018638,,,,0,0,0,0,0,0,0
20191218,7.03,7.1,7.0,7.03,3245109.8,4596451,-0.0042,7.77,6.35,0,0,0,0,0,0,0
20191219,7.03,7.11,7.03,7.1,2419823.0,3420506,0.01,7.73,6.33,0,0,0,0,0,0,0
20191220,7.11,7.14,7.02,7.08,2691872.2,3802910,-0.0028,7.81,6.39,0,0,0,0,0,0,0
20191223,7.08,7.08,6.82,6.84,2580564.4,3729838,-0.0339,7.79,6.37,0,0,0,0,0,0,0
20191224,6.85,6.91,6.81,6.9,1485424.5,2163100,0.0088,7.52,6.16,0,0,0,0,0,0,0
20191225,6.9,6.96,6.86,6.91,1220210.8,1763336,0.0014,7.59,6.21,0,0,0,0,0,0,0
20191226,6.94,7.04,6.88,6.98,5390511.2,7779637,0.0101,7.6,6.22,0,0,0,0,0,0,0
20191227,6.95,7.09,6.9,6.99,3867107.2,5512526,0.0014,7.68,6.28,0,0,0,0,0,0,0
20191230,6.95,6.96,6.69,6.95,2521296.2,3676421,-0.0057,7.69,6.29,0,0,0,0,0,0,0
20191231,6.96,6.99,6.87,6.94,1524900.9,2195574,-0.0014,7.64,6.26,0,0,0,0,0,0,0
20200102,7.0,7.14,6.96,7.09,3427562.0,4851285,0.0216,7.63,6.25,0,0,0,0,0,0,0
20200103,7.1,7.48,7.07,7.19,4995463.2,6902726,0.0141,7.8,6.38,0,0,0,0,0,0,0
20200106,7.13,7.4,7.06,7.23,3557438.0,4920018,0.0056,7.91,6.47,0,0,0,0,0,0,0
20200107,7.23,7.36,7.21,7.3,2895209.2,3980243,0.0097,7.95,6.51,0,0,0,0,0,0,0
20200108,7.26,7.33,7.09,7.14,2246566.2,3122901,-0.0219,8.03,6.57,0,0,0,0,0,0,0
20200109,7.15,7.25,7.11,7.23,2501379.6,3475900,0.0126,7.85,6.43,0,0,0,0,0,0,0
20200110,7.2,7.32,7.14,7.2,2537753.4,3523200,-0.0041,7.95,6.51,0,0,0,0,0,0,0
20200113,7.21,7.22,7.02,7.14,2628487.2,3703926,-0.0083,7.92,6.48,0,0,0,0,0,0,0
20200114,7.18,7.35,7.14,7.25,3112954.4,4286394,0.0154,7.85,6.43,0,0,0,0,0,0,0
20200115,7.23,7.34,7.2,7.27,2639761.6,3624194,0.0028,7.98,6.52,0,0,0,0,0,0,0
20200116,7.31,7.38,7.06,7.09,2429681.8,3369400,-0.0248,8.0,6.54,0,0,0,0,0,0,0
20200117,7.11,7.17,7.01,7.04,1683691.4,2385600,-0.0071,7.8,6.38,0,0,0,0,0,0,0
20200120,7.05,7.1,6.87,7.08,1943570.8,2782077,0.0057,7.74,6.34,0,0,0,0,0,0,0
20200121,7.01,7.16,6.89,6.92,1551165.6,2214100,-0.0226,7.79,6.37,0,0,0,0,0,0,0
20200122,6.9,7.02,6.76,6.94,1716928.6,2496074,0.0029,7.61,6.23,0,0,0,0,0,0,0
20200123,6.92,7.0,6.58,6.69,2143282.8,3162123,-0.036,7.63,6.25,0,0,0,0,0,0,0
20200203,6.02,6.1,6.02,6.02,2460613.4,4084900,-0.1001,7.36,6.02,0,1,0,0,0,1,0
20200204,5.55,6.32,5.55,6.15,2674933.8,4448200,0.0216,6.62,5.42,0,0,0,0,1,0,0
20200205,6.15,6.38,6.11,6.24,1757652.8,2802900,0.0146,6.76,5.54,0,0,0,0,0,0,0
20200206,6.28,6.31,6.15,6.25,1591448.8,2552675,0.0016,6.86,5.62,0,0,0,0,0,0,0
20200207,6.28,6.88,6.18,6.48,3665871.6,5731960,0.0368,6.88,5.62,0,0,0,1,0,0,0
20200210,6.43,6.56,6.36,6.47,1990475.6,3071470,-0.0015,7.13,5.83,0,0,0,0,0,0,0
20200211,6.46,6.68,6.35,6.37,2269859.2,3508069,-0.0155,7.12,5.82,0,0,0,0,0,0,0
20200212,6.34,6.44,6.34,6.38,1211996.6,1900400,0.0016,7.01,5.73,0,0,0,0,0,0,0
20200213,6.44,6.44,6.17,6.24,2069810.2,3291300,-0.0219,7.02,5.74,0,0,0,0,0,0,0
20200214,6.19,6.27,6.12,6.18,1724875.6,2778400,-0.0096,6.86,5.62,0,0,0,0,0,0,0
