date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191219,7.82,7.97,7.82,7.91,2002953.6,2533934,,,,0,0,0,0,0,0,0
20191220,7.96,7.97,7.85,7.88,1808698.4,2288478,-0.0038,8.7,7.12,0,0,0,0,0,0,0
20191223,7.83,7.87,7.63,7.64,2362718.6,3058250,-0.0305,8.67,7.09,0,0,0,0,0,0,0
20191224,7.64,7.78,7.63,7.77,1513884.2,1961636,0.017,8.4,6.88,0,0,0,0,0,0,0
20191225,7.75,7.85,7.72,7.76,1550307.0,1990120,-0.0013,8.55,6.99,0,0,0,0,0,0,0
20191226,7.79,7.87,7.72,7.85,1608318.8,2061135,0.0116,8.54,6.98,0,0,0,0,0,0,0
20191227,7.85,7.92,7.78,7.8,1856464.6,2360577,-0.0064,8.64,7.06,0,0,0,0,0,0,0
20191230,7.8,7.93,7.71,7.85,1677928.2,2146964,0.0064,8.58,7.02,0,0,0,0,0,0,0
20191231,7.85,7.9,7.8,7.86,1692756.0,2155746,0.0013,8.64,7.06,0,0,0,0,0,0,0
20200102,7.9,7.97,7.87,7.97,2447773.6,3088959,0.014,8.65,7.07,0,0,0,0,0,0,0
20200103,7.97,8.04,7.94,8.0,2284438.6,2860181,0.0038,8.77,7.17,0,0,0,0,0,0,0
20200106,7.98,8.07,7.93,8.04,2598993.0,3243468,0.005,8.8,7.2,0,0,0,0,0,0,0
20200107,8.06,8.16,8.02,8.14,2289902.4,2829813,0.0124,8.84,7.24,0,0,0,0,0,0,0
20200108,8.11,8.13,7.95,7.97,2643300.8,3291455,-0.0209,8.95,7.33,0,0,0,0,0,0,0
20200109,8.05,8.29,7.99,8.17,3076287.6,3780955,0.0251,8.77,7.17,0,0,0,0,0,0,0
20200110,8.19,8.19,8.08,8.15,1600066.6,1968877,-0.0024,8.99,7.35,0,0,0,0,0,0,0
20200113,8.12,8.15,8.06,8.12,1537096.2,1898846,-0.0037,8.97,7.34,0,0,0,0,0,0,0
20200114,8.12,8.17,8.09,8.11,1104210.3,1361369,-0.0012,8.93,7.31,0,0,0,0,0,0,0
20200115,8.11,8.11,7.97,8.0,1343015.1,1675733,-0.0136,8.92,7.3,0,0,0,0,0,0,0
20200116,7.98,8.02,7.95,7.96,1070538.4,1342568,-0.005,8.8,7.2,0,0,0,0,0,0,0
20200117,7.95,8.02,7.89,7.9,1079928.9,1359500,-0.0075,8.76,7.16,0,0,0,0,0,0,0
20200120,7.89,7.99,7.81,7.98,1344339.7,1703632,0.0101,8.69,7.11,0,0,0,0,0,0,0
20200121,7.96,7.96,7.83,7.83,1352862.2,1717624,-0.0188,8.78,7.18,0,0,0,0,0,0,0
20200122,7.83,7.86,7.57,7.72,1767402.6,2294590,-0.014,8.61,7.05,0,0,0,0,0,0,0
20200123,7.72,7.72,7.42,7.51,2016570.6,2669630,-0.0272,8.49,6.95,0,0,0,0,0,0,0
20200203,6.76,6.76,6.76,6.76,529984.0,784000,-0.0999,8.26,6.76,0,1,0,0,0,1,0
20200204,6.09,6.55,6.09,6.42,2465851.0,3861729,-0.0503,7.44,6.08,0,0,0,0,0,0,0
20200205,6.41,7.0,6.41,6.82,3187878.8,4820878,0.0623,7.06,5.78,0,0,0,0,0,0,0
20200206,6.75,6.93,6.61,6.87,2738979.4,4040795,0.0073,7.5,6.14,0,0,0,0,0,0,0
20200207,6.88,7.32,6.76,7.11,4055852.8,5768975,0.0349,7.56,6.18,0,0,0,0,0,0,0
20200210,7.13,7.16,7.0,7.06,2963740.4,4188878,-0.007,7.82,6.4,0,0,0,0,0,0,0
20200211,7.05,7.06,6.84,6.85,2028533.0,2925788,-0.0297,7.77,6.35,0,0,0,0,0,0,0
20200212,6.85,7.1,6.81,7.03,2144608.4,3066236,0.0263,7.54,6.16,0,0,0,0,0,0,0
20200213,6.99,7.73,6.97,7.73,4497452.8,6047688,0.0996,7.73,6.33,1,0,1,0,1,0,0
20200214,7.56,8.02,7.56,7.9,9057188.8,11582835,0.022,8.5,6.96,0,0,0,0,0,0,0
20200217,7.75,7.82,7.62,7.78,5702217.2,7390537,-0.0152,8.69,7.11,0,0,0,0,0,0,0
20200218,7.72,7.78,7.61,7.72,3944834.4,5134868,-0.0077,8.56,7.0,0,0,0,0,0,0,0
20200219,7.63,7.74,7.52,7.67,4458196.0,5838158,-0.0065,8.49,6.95,0,0,0,0,0,0,0
20200220,7.68,7.68,7.54,7.67,2804236.2,3682590,0.0,8.44,6.9,0,0,0,0,0,0,0
20200221,7.62,7.68,7.57,7.6,3174044.6,4166650,-0.0091,8.44,6.9,0,0,0,0,0,0,0
20200224,7.58,7.78,7.56,7.71,3700296.8,4803891,0.0145,8.36,6.84,0,0,0,0,0,0,0
20200225,7.6,7.6,7.25,7.4,4261783.2,5758351,-0.0402,8.48,6.94,0,0,0,0,0,0,0
20200226,7.3,7.39,7.22,7.29,2314789.4,3162721,-0.0149,8.14,6.66,0,0,0,0,0,0,0
20200227,7.31,7.37,7.24,7.27,1671526.0,2287577,-0.0027,8.02,6.56,0,0,0,0,0,0,0
20200228,7.07,7.44,7.01,7.18,3618262.8,4985818,-0.0124,8.0,6.54,0,0,0,0,0,0,0
