date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191219,2.11,2.14,2.09,2.12,1332904.6,6295100,,,,0,0,0,0,0,0,0
20191220,2.13,2.23,2.11,2.18,2782772.2,12709365,0.0283,2.33,1.91,0,0,0,0,0,0,0
20191223,2.18,2.23,2.15,2.2,1986863.8,9065756,0.0092,2.4,1.96,0,0,0,0,0,0,0
20191224,2.2,2.3,2.19,2.28,3110178.2,13766582,0.0364,2.42,1.98,0,0,0,0,0,0,0
20191225,2.27,2.27,2.17,2.17,3799192.8,17260530,-0.0482,2.51,2.05,0,0,0,0,0,0,0
20191226,2.2,2.21,2.13,2.15,2528346.2,11754746,-0.0092,2.39,1.95,0,0,0,0,0,0,0
20191227,2.16,2.21,2.16,2.17,1622737.0,7424060,0.0093,2.37,1.94,0,0,0,0,0,0,0
20191230,2.11,2.15,2.07,2.1,1854489.2,8797245,-0.0323,2.39,1.95,0,0,0,0,0,0,0
20191231,2.09,2.15,2.09,2.12,974515.1,4583256,0.0095,2.31,1.89,0,0,0,0,0,0,0
20200102,2.14,2.17,2.12,2.16,1519424.6,7106880,0.0189,2.33,1.91,0,0,0,0,0,0,0
20200103,2.15,2.22,2.14,2.19,1132623.9,5182768,0.0139,2.38,1.94,0,0,0,0,0,0,0
20200106,2.18,2.21,2.16,2.17,1502737.6,6892310,-0.0091,2.41,1.97,0,0,0,0,0,0,0
20200107,2.19,2.2,2.16,2.2,1232942.5,5645200,0.0138,2.39,1.95,0,0,0,0,0,0,0
20200108,2.28,2.31,2.26,2.31,1641625.3,7133089,0.05,2.42,1.98,0,0,0,0,0,0,0
20200109,2.43,2.43,2.43,2.43,494760.15,2036050,0.0519,2.54,2.08,0,0,0,0,0,0,0
20200110,2.55,2.55,2.33,2.41,5626612.8,23156851,-0.0082,2.67,2.19,0,0,0,0,0,0,0
20200113,2.4,2.4,2.33,2.36,1777642.0,7528188,-0.0207,2.65,2.17,0,0,0,0,0,0,0
