date,open,high,low,close,amount,vol,涨幅,max,min,涨停,跌停,连涨天数,破板,大肉,大面,成交额大于20亿
20191219,6.12,6.34,6.03,6.23,6701609.2,10866083,,,,0,0,0,0,0,0,0
20191220,6.25,6.25,5.89,5.93,4782698.8,7896300,-0.0482,6.85,5.61,0,0,0,0,0,0,0
20191223,5.84,5.93,5.72,5.75,2273859.6,3918200,-0.0304,6.52,5.34,0,0,0,0,0,0,0
20191224,5.76,5.96,5.71,5.96,2315206.8,3947306,0.0365,6.32,5.18,0,0,0,0,0,0,0
20191225,5.97,6.08,5.88,6.03,2903825.6,4853700,0.0117,6.56,5.36,0,0,0,0,0,0,0
20191226,6.03,6.15,5.9,6.14,3330700.2,5511173,0.0182,6.63,5.43,0,0,0,0,0,0,0
20191227,6.11,6.13,5.97,5.97,2422840.2,3999158,-0.0277,6.75,5.53,0,0,0,0,0,0,0
20191230,5.88,6.06,5.8,6.05,2632083.6,4429513,0.0134,6.57,5.37,0,0,0,0,0,0,0
20191231,6.11,6.11,5.92,6.0,1932450.4,3212213,-0.0083,6.66,5.44,0,0,0,0,0,0,0
20200102,5.99,6.05,5.95,6.02,2722610.6,4536374,0.0033,6.6,5.4,0,0,0,0,0,0,0
20200103,6.02,6.03,5.87,5.91,3142683.2,5310369,-0.0183,6.62,5.42,0,0,0,0,0,0,0
20200106,5.89,5.98,5.78,5.9,2388630.8,4046647,-0.0017,6.5,5.32,0,0,0,0,0,0,0
20200107,5.9,6.18,5.87,6.15,5065854.8,8315502,0.0424,6.49,5.31,0,0,0,0,0,0,0
20200108,6.19,6.22,5.94,5.96,3656082.8,6055207,-0.0309,6.76,5.54,0,0,0,0,0,0,0
20200109,6.0,6.09,6.0,6.08,2099587.0,3468898,0.0201,6.56,5.36,0,0,0,0,0,0,0
20200110,6.13,6.16,6.0,6.0,2277783.0,3757210,-0.0132,6.69,5.47,0,0,0,0,0,0,0
20200113,6.01,6.16,5.95,6.15,2742153.2,4517222,0.025,6.6,5.4,0,0,0,0,0,0,0
20200114,6.16,6.19,6.08,6.19,4230632.0,6894387,0.0065,6.76,5.54,0,0,0,0,0,0,0
20200115,6.21,6.23,6.03,6.04,2418333.2,3966301,-0.0242,6.81,5.57,0,0,0,0,0,0,0
20200116,6.05,6.11,5.97,5.98,2057336.8,3407875,-0.0099,6.64,5.44,0,0,0,0,0,0,0
20200117,5.95,6.01,5.86,5.86,2004388.8,3394405,-0.0201,6.58,5.38,0,0,0,0,0,0,0
20200120,5.88,6.04,5.75,6.04,2524663.6,4311658,0.0307,6.45,5.27,0,0,0,0,0,0,0
20200121,6.04,6.04,5.89,6.0,1481262.9,2489802,-0.0066,6.64,5.44,0,0,0,0,0,0,0
20200122,5.4,5.4,5.4,5.4,901368.0,1669200,-0.1,6.6,5.4,0,1,0,0,0,1,0
20200123,4.86,4.86,4.86,4.86,854776.8,1758800,-0.1,5.94,4.86,0,1,0,0,0,1,0
20200203,4.37,4.37,4.37,4.37,129920.1,297300,-0.1008,5.35,4.37,0,1,0,0,0,1,0
20200204,3.93,4.1,3.93,4.0,5073884.8,12825679,-0.0847,4.81,3.93,0,0,0,0,0,0,0
20200205,3.95,4.13,3.95,4.03,2803188.0,6926132,0.0075,4.4,3.6,0,0,0,0,0,0,0
20200206,4.07,4.42,4.02,4.38,3024907.0,7114100,0.0868,4.43,3.63,0,0,0,0,0,0,0
20200207,4.4,4.41,4.19,4.24,2376844.8,5580866,-0.032,4.82,3.94,0,0,0,0,0,0,0
20200210,4.25,4.55,4.23,4.45,3079986.4,7001190,0.0495,4.66,3.82,0,0,0,0,0,0,0
20200211,4.47,4.85,4.37,4.62,3364643.2,7319300,0.0382,4.9,4.0,0,0,0,0,0,0,0
20200212,4.63,4.64,4.48,4.64,2703953.6,5937310,0.0043,5.08,4.16,0,0,0,0,0,0,0
20200213,4.56,4.64,4.4,4.52,2877059.4,6354100,-0.0259,5.1,4.18,0,0,0,0,0,0,0
20200214,4.55,4.57,4.45,4.55,1897892.0,4213900,0.0066,4.97,4.07,0,0,0,0,0,0,0
20200217,4.59,4.7,4.57,4.69,2432698.0,5234040,0.0308,5.0,4.1,0,0,0,0,0,0,0
20200218,4.75,4.87,4.67,4.83,2880673.6,6018701,0.0299,5.16,4.22,0,0,0,0,0,0,0
20200219,4.88,4.89,4.76,4.8,2025442.8,4197400,-0.0062,5.31,4.35,0,0,0,0,0,0,0
20200220,4.84,5.06,4.76,5.02,3461160.0,7012391,0.0458,5.28,4.32,0,0,0,0,0,0,0
20200221,5.03,5.09,4.97,5.06,2729957.6,5430020,0.008,5.52,4.52,0,0,0,0,0,0,0
20200224,5.05,5.12,4.98,5.08,2380386.2,4712355,0.004,5.57,4.55,0,0,0,0,0,0,0
20200225,5.05,5.05,4.72,4.91,2619274.8,5363357,-0.0335,5.59,4.57,0,0,0,0,0,0,0
20200226,4.91,5.12,4.83,4.89,3105542.6,6255600,-0.0041,5.4,4.42,0,0,0,0,0,0,0
20200227,4.93,4.95,4.73,4.84,1969894.8,4097583,-0.0102,5.38,4.4,0,0,0,0,0,0,0
20200228,4.71,4.71,4.37,4.43,2338229.4,5195025,-0.0847,5.32,4.36,0,0,0,0,0,0,0
20200302,4.46,4.72,4.46,4.55,1958549.4,4279800,0.0271,4.87,3.99,0,0,0,0,0,0,0
20200303,4.66,4.7,4.46,4.54,2392156.0,5215500,-0.0022,5.0,4.1,0,0,0,0,0,0,0
20200304,4.52,4.76,4.4,4.71,2410610.6,5238001,0.0374,4.99,4.09,0,0,0,0,0,0,0
20200305,4.72,4.94,4.71,4.9,2498068.0,5140115,0.0403,5.18,4.24,0,0,0,0,0,0,0
20200306,4.84,5.08,4.8,4.95,2889957.6,5789800,0.0102,5.39,4.41,0,0,0,0,0,0,0
