date,open,high,low,close,amount,vol,gains,max,min,涨跌停,连涨天数,破板
20191213,9.31,9.48,9.31,9.41,10811068.8,11516247,,,,0,0,0
20191216,9.46,9.52,9.35,9.5,9105228.8,9639337,0.0096,10.35,8.47,0,0,0
20191217,9.49,9.78,9.44,9.68,17635929.6,18313082,0.0189,10.45,8.55,0,0,0
20191218,9.63,9.75,9.61,9.62,11930252.0,12332416,-0.0062,10.65,8.71,0,0,0
20191219,9.64,9.7,9.6,9.66,9025363.2,9342678,0.0042,10.58,8.66,0,0,0
20191220,9.66,9.72,9.61,9.65,8504360.0,8797167,-0.001,10.63,8.69,0,0,0
20191223,9.63,9.69,9.37,9.4,9562048.0,10041026,-0.0259,10.62,8.68,0,0,0
20191224,9.43,9.48,9.38,9.44,4901923.2,5198122,0.0043,10.34,8.46,0,0,0
20191225,9.43,9.55,9.39,9.42,6016632.0,6364968,-0.0021,10.38,8.5,0,0,0
20191226,9.45,9.54,9.4,9.54,8599675.2,9073958,0.0127,10.36,8.48,0,0,0
20191227,9.55,9.6,9.47,9.47,8358426.4,8752578,-0.0073,10.49,8.59,0,0,0
20191230,9.49,9.81,9.47,9.74,17944710.4,18547234,0.0285,10.42,8.52,0,0,0
20191231,9.75,9.81,9.69,9.75,10577543.2,10862219,0.001,10.71,8.77,0,0,0
20200102,9.86,9.94,9.82,9.9,16723091.2,16909364,0.0154,10.73,8.78,0,0,0
20200103,9.9,9.9,9.78,9.81,13016065.6,13240336,-0.0091,10.89,8.91,0,0,0
20200106,9.77,10.02,9.71,9.94,22589142.4,22854687,0.0133,10.79,8.83,0,0,0
20200107,9.9,10.01,9.89,10.0,12637351.2,12699797,0.006,10.93,8.95,0,0,0
20200108,9.95,9.95,9.75,9.76,13659008.0,13902919,-0.024,11.0,9.0,0,0,0
20200109,9.86,9.9,9.8,9.88,8506484.8,8633945,0.0123,10.74,8.78,0,0,0
20200110,9.91,9.94,9.81,9.89,9033008.0,9146906,0.001,10.87,8.89,0,0,0
20200113,9.84,9.9,9.77,9.9,9753383.2,9930101,0.001,10.88,8.9,0,0,0
20200114,9.9,10.19,9.86,10.04,16833905.6,16752270,0.0141,10.89,8.91,0,0,0
20200115,10.06,10.14,9.92,9.96,8885094.4,8887047,-0.008,11.04,9.04,0,0,0
20200116,9.98,10.03,9.84,9.84,7575551.2,7656556,-0.012,10.96,8.96,0,0,0
20200117,9.89,9.91,9.81,9.84,5301234.4,5374763,0.0,10.82,8.86,0,0,0
20200120,9.85,9.92,9.8,9.91,6307855.2,6393708,0.0071,10.82,8.86,0,0,0
20200121,9.89,9.97,9.69,9.72,11450361.6,11691649,-0.0192,10.9,8.92,0,0,0
20200122,9.72,9.94,9.72,9.92,13521465.6,13725841,0.0206,10.69,8.75,0,0,0
20200123,9.85,9.86,9.45,9.52,14845747.2,15411834,-0.0403,10.91,8.93,0,0,0
20200203,8.57,8.85,8.57,8.57,16965219.2,19729558,-0.0998,10.47,8.57,-1,0,0
20200204,8.46,8.76,8.46,8.68,13766836.8,15904029,0.0128,9.43,7.71,0,0,0
20200205,8.68,8.92,8.63,8.84,13518928.0,15351657,0.0184,9.55,7.81,0,0,0
20200206,8.84,9.02,8.72,8.96,15689654.4,17631012,0.0136,9.72,7.96,0,0,0
20200207,8.9,8.95,8.79,8.9,12520065.6,14132089,-0.0067,9.86,8.06,0,0,0
20200210,8.87,9.0,8.78,8.97,10558337.6,11825840,0.0079,9.79,8.01,0,0,0
20200211,8.97,9.09,8.91,8.94,9300528.8,10339051,-0.0033,9.87,8.07,0,0,0
20200212,8.94,9.0,8.87,8.96,10123712.8,11341562,0.0022,9.83,8.05,0,0,0
20200213,8.97,9.03,8.84,8.9,9370462.4,10502299,-0.0067,9.86,8.06,0,0,0
20200214,8.86,8.99,8.83,8.93,9325948.0,10451312,0.0034,9.79,8.01,0,0,0
20200217,8.96,9.19,8.95,9.18,15348233.6,16923460,0.028,9.82,8.04,0,0,0
20200218,9.18,9.18,9.02,9.12,15787416.0,17371942,-0.0065,10.1,8.26,0,0,0
20200219,9.13,9.15,9.05,9.07,11198962.4,12304698,-0.0055,10.03,8.21,0,0,0
20200220,9.12,9.29,9.05,9.28,16145360.0,17603957,0.0232,9.98,8.16,0,0,0
20200221,9.27,9.46,9.21,9.42,23152798.4,24929758,0.0151,10.21,8.35,0,0,0
20200224,9.36,9.5,9.27,9.36,18134593.6,19327767,-0.0064,10.36,8.48,0,0,0
20200225,9.19,9.29,9.0,9.23,23610097.6,25812210,-0.0139,10.3,8.42,0,0,0
20200226,9.08,9.39,9.04,9.2,18531128.0,20019011,-0.0033,10.15,8.31,0,0,0
20200227,9.2,9.38,9.17,9.19,11967532.8,12936704,-0.0011,10.12,8.28,0,0,0
20200228,9.0,9.06,8.78,8.82,19405422.4,21761860,-0.0403,10.11,8.27,0,0,0
20200302,8.94,9.22,8.86,9.14,15462123.2,16985402,0.0363,9.7,7.94,0,0,0
