date,open,high,low,close,amount,vol
20191213,7.92,8.0,7.71,7.81,7873362.4,10067302
20191216,7.81,8.52,7.77,8.31,16243041.6,19853043
20191217,8.32,9.13,8.32,8.68,29030460.8,33228347
20191218,8.64,8.9,8.52,8.82,20614526.4,23758754
20191219,8.68,8.75,8.46,8.67,15568308.8,18085318
20191220,8.68,8.84,8.35,8.39,13345996.8,15602650
20191223,8.4,8.75,8.2,8.49,14982592.0,17591725
20191224,8.47,8.72,8.43,8.7,12720505.6,14742380
20191225,8.67,8.84,8.52,8.64,13629857.6,15732410
20191226,8.59,9.07,8.52,8.95,18569595.2,21042999
20191227,8.99,9.33,8.45,8.5,29714073.6,33161098
20191230,8.34,9.35,8.28,9.35,23229966.4,25467902
20191231,9.6,9.75,8.96,9.0,34279987.2,36799378
20200102,8.94,9.34,8.94,9.11,21826988.8,23838166
20200103,9.12,9.36,9.02,9.15,16545100.8,18002509
20200106,9.01,9.32,8.91,9.24,18221264.0,19876063
20200107,9.26,9.4,9.05,9.37,17818179.2,19223462
20200108,9.27,9.37,9.0,9.03,16894964.8,18481642
20200109,9.08,9.25,8.86,9.05,14527556.8,16057629
20200110,9.13,9.13,8.82,8.89,10185410.4,11385210
20200113,8.86,9.18,8.8,9.13,11360096.0,12576414
20200114,9.15,9.25,9.07,9.11,11089333.6,12108750
20200115,9.18,9.21,8.93,9.18,10021948.0,11037989
20200116,9.15,9.2,8.98,8.99,8449771.2,9313110
20200117,8.98,9.05,8.76,8.78,8939848.8,10070385
20200120,8.86,9.42,8.81,9.39,22720908.8,24602812
20200121,9.25,9.56,9.18,9.25,16734977.6,17883850
20200122,9.25,9.86,9.2,9.69,24132979.2,25370947
20200123,9.57,9.63,8.92,9.04,20073796.8,21657014
20200203,8.14,8.14,8.14,8.14,737809.6,906400
20200204,7.33,8.2,7.33,7.94,13614001.6,17424319
20200205,8.1,8.67,8.08,8.46,15278451.2,18203875
20200206,8.57,8.88,8.38,8.74,16718148.8,19182877
20200207,8.66,8.94,8.56,8.8,14654190.4,16686281
20200210,8.73,8.88,8.59,8.76,10033162.4,11479501
20200211,8.77,8.77,8.36,8.45,9810049.6,11539439
20200212,8.47,9.14,8.42,9.09,19603385.6,22026131
20200213,8.94,9.3,8.86,9.1,18283408.0,20136044
20200214,9.03,9.44,9.01,9.28,19669356.8,21301205
20200217,9.37,9.69,9.29,9.44,21067224.0,22317687
20200218,9.38,9.82,9.38,9.75,23422356.8,24353741
20200219,9.64,9.83,9.4,9.42,21558508.8,22592866
20200220,9.54,10.36,9.27,10.36,33089859.2,33485212
20200221,10.58,10.68,10.03,10.13,43647574.4,42525456
20200224,9.91,10.35,9.8,10.25,27168348.8,26974183
20200225,9.8,10.08,9.26,9.97,27196700.8,27725972
20200226,9.72,10.14,9.52,9.57,19027534.4,19327628
20200227,9.65,9.74,9.31,9.5,11386301.6,11965713
20200228,9.0,9.22,8.57,8.6,16273588.8,18362431
20200302,8.74,9.15,8.7,9.08,9337169.6,10447955
