date,open,high,low,close,amount,vol
20191213,4.9,4.9,4.75,4.79,6780033.6,14124628
20191216,4.8,4.99,4.74,4.9,10699800.8,22025006
20191217,4.9,4.94,4.85,4.9,9257935.2,18910929
20191218,5.01,5.09,4.89,4.94,9413813.6,18976282
20191219,4.91,5.43,4.89,5.43,21819176.0,42135758
20191220,5.4,5.4,5.13,5.17,20849542.4,39656715
20191223,5.19,5.45,5.11,5.13,16077806.4,30581416
20191224,5.18,5.3,5.02,5.27,11050686.4,21340107
20191225,5.25,5.45,5.19,5.4,16370739.2,30505844
20191226,5.37,5.74,5.37,5.52,22462227.2,40250532
20191227,5.59,5.63,5.35,5.39,13969380.8,25437100
20191230,5.31,5.47,5.23,5.38,9091339.2,16884782
20191231,5.38,5.56,5.33,5.47,8802077.6,16133526
20200102,5.54,5.64,5.48,5.57,10649160.8,19101269
20200103,5.54,5.62,5.45,5.49,10134399.2,18348703
20200106,5.47,5.61,5.41,5.52,11320173.6,20461300
20200107,5.52,5.79,5.5,5.75,15812817.6,28005030
20200108,5.71,5.95,5.65,5.77,16028454.4,27624086
20200109,5.91,5.95,5.7,5.74,9074745.6,15690980
20200110,5.78,5.81,5.61,5.65,9059591.2,15957400
20200113,5.7,5.7,5.62,5.66,8665806.4,15340900
20200114,5.68,5.81,5.62,5.7,9902407.2,17334428
20200115,5.71,5.78,5.57,5.69,9828551.2,17386200
20200116,5.67,5.71,5.6,5.63,6877444.0,12169400
20200117,5.66,5.73,5.48,5.52,12267528.8,22023380
20200120,5.53,5.66,5.38,5.62,14427617.6,25915306
20200121,5.58,5.68,5.5,5.51,9142308.8,16324516
20200122,5.45,5.59,5.3,5.55,10792324.8,19712702
20200123,5.48,5.56,5.16,5.29,13109044.8,24525887
20200203,4.76,4.76,4.76,4.76,1431617.6,3007600
20200204,4.29,4.92,4.29,4.84,16530740.8,34892697
20200205,4.84,5.24,4.84,5.09,14260177.6,28055423
20200206,5.12,5.19,5.0,5.14,9258074.4,18088167
20200207,5.13,5.26,5.08,5.24,9580316.0,18591800
20200210,5.21,5.37,5.19,5.35,8599884.0,16265700
20200211,5.35,5.38,5.21,5.26,7981686.4,15081588
20200212,5.31,5.47,5.27,5.44,12867640.8,23884802
20200213,5.45,5.65,5.36,5.37,14428897.6,26347428
20200214,5.37,5.57,5.35,5.43,9987771.2,18329603
20200217,5.53,5.97,5.48,5.97,33478368.0,57291081
20200218,6.05,6.44,6.01,6.28,56280480.0,90780082
20200219,6.3,6.91,6.25,6.45,61022150.4,93065230
20200220,6.5,6.64,6.15,6.51,39541731.2,61498560
20200221,6.7,6.97,6.5,6.56,45471465.6,68151706
20200224,6.3,6.87,6.2,6.79,45233116.8,68341946
20200225,6.67,7.45,6.67,7.38,74878937.6,105337056
20200226,7.18,7.38,6.73,6.83,57894643.2,82488666
20200227,6.85,7.2,6.62,7.06,40176608.0,57862398
20200228,6.79,7.6,6.79,7.08,70288960.0,97413719
20200302,7.79,7.79,7.79,7.79,7610128.8,9769100
