date,open,high,low,close,amount,vol
20191213,21.95,22.12,21.77,21.95,46847987.2,21379028
20191216,22.0,22.06,21.79,22.04,40473014.4,18443176
20191217,22.1,22.36,21.91,22.31,53812908.8,24244046
20191218,22.21,22.37,22.05,22.16,36299990.4,16363167
20191219,22.55,23.48,22.41,23.02,84168908.8,36714653
20191220,22.75,22.94,22.63,22.66,44992377.6,19779510
20191223,22.6,23.57,22.58,22.92,71194195.2,30727806
20191224,22.99,23.26,22.8,23.23,36842883.2,15968815
20191225,23.23,23.55,22.98,23.45,44112169.6,18944714
20191226,23.43,24.15,23.35,23.87,46974428.8,19645032
20191227,23.93,24.11,23.65,23.87,45597788.8,19160739
20191230,24.25,25.18,24.25,24.87,65082380.8,26297324
20191231,24.89,26.88,24.55,26.43,97942182.4,38073005
20200102,26.79,27.68,26.11,26.93,112009446.4,41724925
20200103,26.55,26.8,26.21,26.44,56773862.4,21445353
20200106,26.13,26.28,25.5,25.75,81487936.0,31489927
20200107,25.87,26.25,25.38,25.92,54063808.0,20910634
20200108,25.59,25.62,25.06,25.16,57856524.8,22834800
20200109,25.5,25.68,25.2,25.45,37626652.8,14794608
20200110,25.5,25.86,25.23,25.79,47961024.0,18764660
20200113,24.65,24.66,23.66,24.44,108154508.8,44804324
20200114,24.4,24.57,24.11,24.21,56569766.4,23280074
20200115,24.22,24.27,23.7,23.73,51357430.4,21532480
20200116,23.82,24.2,23.6,23.86,40970832.0,17119511
20200117,23.96,24.25,23.79,24.05,38692588.8,16061147
20200120,24.05,24.36,23.96,24.18,34373168.0,14247133
20200121,23.97,23.98,22.8,22.91,65546208.0,28377729
20200122,22.51,23.0,22.47,22.76,67307923.2,29660244
20200123,22.52,22.54,21.21,21.4,72903987.2,33381719
20200203,19.26,19.26,19.26,19.26,17918926.4,9303700
20200204,18.0,20.32,18.0,19.82,90154745.6,46177558
20200205,20.0,20.36,19.33,19.94,57362355.2,28609273
20200206,19.9,20.14,19.63,20.0,43762124.8,21994007
20200207,20.0,20.03,19.6,19.84,37798656.0,19110708
20200210,19.9,21.82,19.71,21.82,103969984.0,48849407
20200211,21.76,22.22,21.4,21.83,89917894.4,41116795
20200212,21.71,22.33,21.45,22.29,67552697.6,30836319
20200213,22.39,23.33,22.15,22.82,96767392.0,42280406
20200214,23.08,23.59,22.9,23.2,78363769.6,33823809
20200217,23.21,23.47,22.91,23.47,77851372.8,33630530
20200218,23.25,23.25,22.7,22.84,71916064.0,31385630
20200219,22.77,23.47,22.44,22.89,64924704.0,28104120
20200220,22.8,23.25,22.39,23.16,77916051.2,34146538
20200221,23.1,23.89,22.89,23.7,95852940.8,40814605
20200224,23.7,24.6,23.7,24.28,101410828.8,41918285
20200225,23.75,24.24,23.06,23.93,86781932.8,36374002
20200226,23.28,24.99,23.2,24.32,124809958.4,50953340
20200227,24.39,26.66,24.39,25.18,143466534.4,56385455
20200228,24.41,25.74,24.0,24.39,102381164.8,41210231
20200302,24.74,26.83,24.74,26.83,213421798.4,80923395
