date,open,high,low,close,amount,vol
20191219,6.14,6.22,6.1,6.17,6111083.2,9915600
20191220,6.19,6.24,6.02,6.04,6755434.4,11068700
20191223,6.01,6.19,5.93,6.15,7251161.6,11852290
20191224,6.34,6.5,6.16,6.42,14416187.2,22715576
20191225,6.45,6.45,6.18,6.39,11106681.6,17590990
20191226,6.35,7.03,6.25,7.03,34325152.0,49977704
20191227,7.02,7.48,6.66,7.04,31825872.0,45344289
20191230,6.9,6.97,6.61,6.78,15743536.0,23193471
20191231,6.69,6.92,6.56,6.76,13962596.8,20653298
20200102,6.8,6.99,6.68,6.87,14358592.0,21053228
20200103,6.89,6.93,6.75,6.81,10091067.2,14791302
20200106,6.7,6.97,6.64,6.89,10763542.4,15745200
20200107,6.87,7.2,6.82,7.1,13561390.4,19399370
20200108,7.0,7.33,6.9,7.09,13884310.4,19656032
20200109,7.15,7.18,6.98,7.1,8682489.6,12284268
20200110,7.1,7.13,6.81,6.84,9164790.4,13211070
20200113,6.76,6.89,6.7,6.87,5414373.2,7970691
20200114,6.85,7.23,6.82,7.15,12706856.8,17984692
20200115,7.05,7.12,6.91,6.98,6883159.2,9847007
20200116,7.05,7.05,6.83,6.85,5469084.8,7913297
20200117,6.84,6.89,6.68,6.7,4488688.8,6637852
20200120,6.76,7.25,6.76,7.09,11674278.4,16591479
20200121,7.4,7.67,7.17,7.28,24939308.8,33698787
20200122,7.36,7.84,7.16,7.4,25156296.0,33630087
20200123,7.24,7.58,6.67,7.01,16156188.8,22527919
20200203,6.31,6.53,6.31,6.31,9667948.8,15229550
20200204,5.83,6.38,5.83,6.3,12115141.6,19488905
20200205,6.3,6.56,6.18,6.47,11747850.4,18362267
20200206,6.38,7.12,6.35,7.12,20276625.6,29694753
20200207,7.4,7.83,7.2,7.83,30665174.4,40819193
20200210,7.71,7.71,7.23,7.37,19339540.8,26232407
20200211,7.3,7.37,7.0,7.16,11123241.6,15523551
20200212,7.14,7.45,7.1,7.41,14492995.2,19812346
20200213,7.46,7.52,7.1,7.12,11007331.2,15229301
20200214,7.08,7.24,7.02,7.24,9012622.4,12658665
20200217,7.31,7.46,7.24,7.41,12373737.6,16794467
20200218,7.41,7.66,7.33,7.61,14843158.4,19789947
20200219,7.62,8.09,7.01,7.38,20978241.6,27265525
20200220,7.22,7.52,7.22,7.42,12980325.6,17596734
20200221,7.4,8.15,7.37,8.04,23061609.6,29685262
20200224,8.08,8.33,7.76,8.2,23325555.2,28938055
20200225,7.83,8.38,7.79,8.34,21331265.6,26177584
20200226,8.1,8.25,7.55,7.7,16496185.6,20720180
20200227,7.68,7.84,7.44,7.69,8385235.2,10929000
20200228,7.3,7.43,6.93,6.95,11148612.0,15560732
20200302,7.0,7.34,7.0,7.27,6657949.2,9287480
20200303,7.39,7.56,7.26,7.36,7486399.2,10118603
20200304,7.25,7.36,7.1,7.31,6269564.8,8656907
20200305,7.43,7.45,7.26,7.34,6361643.6,8664661
20200306,7.26,7.46,7.19,7.41,7722052.0,10538600
