date,open,high,low,close,amount,vol
20191219,113.29,114.3,109.8,112.5,166719411.2,14874589
20191220,112.99,115.32,111.05,111.36,149721907.2,13214151
20191223,108.92,111.99,105.1,105.16,170483174.4,15792365
20191224,106.88,107.18,105.06,106.57,83623225.6,7865247
20191225,106.0,108.07,104.55,105.1,121303193.6,11456331
20191226,105.95,110.18,104.35,109.8,136819788.8,12788596
20191227,109.71,110.98,103.69,104.75,194956288.0,18077232
20191230,102.5,112.47,101.3,111.28,211771289.6,19539387
20191231,109.5,111.0,107.71,109.11,105354956.8,9636131
20200102,113.11,115.8,110.17,112.33,211380608.0,18633102
20200103,112.04,114.42,111.0,111.25,112167692.8,9982633
20200106,110.0,119.04,108.21,114.79,192465241.6,16853673
20200107,115.39,116.83,113.11,114.89,125766656.0,10955095
20200108,113.0,113.7,108.1,109.41,142894425.6,12877977
20200109,111.77,114.86,111.0,111.77,127269683.2,11284413
20200110,114.49,114.98,110.77,111.81,93520409.6,8322745
20200113,111.6,113.49,109.51,113.42,113786355.2,10203449
20200114,113.9,114.5,110.41,110.85,105182444.8,9376119
20200115,110.45,111.32,108.34,109.82,102520921.6,9361488
20200116,109.99,110.5,108.6,108.96,59714809.6,5466384
20200117,109.89,112.78,109.5,110.69,109159769.6,9828403
20200120,110.73,113.0,108.98,112.42,91993984.0,8245174
20200121,112.0,112.4,108.86,109.34,91927283.2,8328702
20200122,108.16,112.44,106.04,111.69,121617843.2,11138413
20200123,110.99,113.88,106.88,109.05,129981632.0,11757154
20200203,98.15,98.15,98.15,98.15,20383792.0,2076800
20200204,91.0,99.66,91.0,97.73,167825638.4,17384185
20200205,98.48,104.11,97.19,99.6,135394240.0,13480499
20200206,99.0,105.1,98.31,103.72,159886118.4,15686378
20200207,102.2,106.5,102.15,104.69,108100147.2,10385605
20200210,103.48,106.71,103.25,104.78,105724780.8,10070057
20200211,105.33,106.4,103.88,104.0,76670528.0,7313282
20200212,103.55,111.8,103.01,109.59,188974950.4,17539815
20200213,109.55,112.08,106.33,110.0,150519910.4,13734030
20200214,109.21,121.0,109.0,118.9,303807692.8,25740094
20200217,121.44,130.0,118.98,127.54,282696448.0,22989009
20200218,125.0,127.5,121.66,123.15,187496384.0,15149840
20200219,122.0,126.8,121.0,121.46,186394432.0,15052619
20200220,121.58,133.61,120.46,133.61,221847884.8,17338553
20200221,140.0,146.97,138.0,146.97,381060198.4,26428537
20200224,144.0,149.8,142.94,147.32,323207424.0,22032702
20200225,141.0,147.0,133.9,146.0,353061068.8,24917410
20200226,142.0,143.0,131.4,131.4,276426598.4,20230862
20200227,133.28,139.99,131.06,134.22,299225292.8,22123599
20200228,125.88,130.48,121.69,123.49,263182617.6,20899778
20200302,128.0,132.9,125.08,131.0,226058572.8,17469842
20200303,135.0,139.8,129.38,130.17,273449292.8,20289286
20200304,129.82,134.98,127.02,133.5,229595136.0,17464694
20200305,136.36,140.57,130.8,135.56,296698316.8,21870638
20200306,131.0,132.96,128.2,129.22,191970432.0,14791211
