date,open,high,low,close,amount,vol
20191213,4.16,4.34,4.1,4.19,21573505.6,51352776
20191216,4.22,4.28,4.13,4.23,15375230.4,36524047
20191217,4.23,4.33,4.1,4.13,19108236.8,45211190
20191218,4.09,4.17,4.06,4.16,11947677.6,29023873
20191219,4.16,4.16,3.96,4.0,12880318.4,32022096
20191220,4.0,4.05,3.78,3.78,15394574.4,39367457
20191223,3.72,3.72,3.61,3.62,7835682.4,21476520
20191224,3.6,3.71,3.6,3.68,3858940.0,10519850
20191225,3.65,3.75,3.65,3.7,4418080.4,11985511
20191226,3.69,3.71,3.65,3.68,2976112.8,8087000
20191227,3.7,3.73,3.65,3.66,3746895.2,10151000
20191230,3.63,3.71,3.56,3.66,3307445.4,9103900
20191231,3.66,3.69,3.62,3.67,2145315.0,5863511
20200102,3.72,3.74,3.69,3.73,3599608.8,9691100
20200103,3.72,3.76,3.7,3.75,3164431.2,8460400
20200106,3.72,3.77,3.71,3.74,4068414.0,10875603
20200107,3.76,3.81,3.76,3.81,4518816.8,11916903
20200108,3.8,3.95,3.75,3.85,9028441.6,23468300
20200109,3.88,3.9,3.82,3.85,5203858.4,13547350
20200110,3.85,3.85,3.76,3.78,3344804.2,8805638
20200113,3.76,3.8,3.71,3.77,3997365.2,10633600
20200114,3.77,3.92,3.75,3.84,7691438.4,19975100
20200115,3.84,3.89,3.74,3.82,4682467.2,12330103
20200116,3.85,3.85,3.75,3.76,3572040.4,9428100
20200117,3.73,3.77,3.64,3.65,3862275.6,10447868
20200120,3.65,3.68,3.62,3.63,3224756.6,8845450
20200121,3.63,3.67,3.62,3.62,2312059.6,6351150
20200122,3.61,3.64,3.53,3.61,2893004.2,8086953
20200123,3.59,3.63,3.46,3.53,3280851.6,9245503
20200203,3.18,3.18,3.18,3.18,654793.8,2059100
20200204,2.86,3.18,2.86,3.06,4571470.8,15109921
20200205,3.06,3.16,3.06,3.1,2821597.0,9051788
20200206,3.11,3.14,3.06,3.12,3019952.4,9706072
20200207,3.11,3.19,3.1,3.15,2668471.0,8473861
20200210,3.17,3.24,3.15,3.21,2655325.6,8293206
20200211,3.22,3.29,3.21,3.23,2260193.0,6976650
20200212,3.23,3.32,3.19,3.31,3254157.2,9944921
20200213,3.3,3.33,3.24,3.26,3012923.2,9198704
20200214,3.27,3.28,3.2,3.22,2040636.2,6296592
20200217,3.21,3.32,3.21,3.31,2746782.0,8356187
20200218,3.31,3.4,3.3,3.38,3006653.8,8960820
20200219,3.42,3.5,3.39,3.4,4911417.6,14271000
20200220,3.4,3.46,3.38,3.46,3978364.0,11598710
20200221,3.44,3.53,3.42,3.49,4659869.2,13353200
20200224,3.46,3.55,3.38,3.52,5141337.2,14806502
20200225,3.44,3.46,3.28,3.41,6885310.4,20324241
20200226,3.35,3.47,3.33,3.41,5253450.8,15328236
20200227,3.42,3.46,3.36,3.4,3273707.4,9610150
20200228,3.31,3.34,3.11,3.12,6180053.2,19225573
20200302,3.13,3.28,3.13,3.26,3113784.6,9646039
