date,open,high,low,close,amount,vol
20191217,7.8,7.8,7.66,7.79,211863.6,273701
20191218,7.88,7.89,7.6,7.66,465030.0,605001
20191219,7.6,7.66,7.41,7.51,744436.0,990420
20191220,7.45,7.51,7.31,7.31,905925.0,1221320
20191223,7.43,7.68,7.3,7.68,1049089.9,1395321
20191224,7.58,8.06,7.58,8.06,754856.9,949741
20191225,8.39,8.39,7.88,8.23,1051923.2,1279221
20191226,8.23,8.64,8.21,8.5,914443.8,1076601
20191227,8.5,8.53,8.08,8.08,1198069.4,1461700
20191230,7.95,8.4,7.8,8.21,843448.6,1030800
20191231,8.21,8.25,7.95,8.16,484241.5,598500
20200102,8.48,8.57,8.2,8.57,495653.7,579400
20200103,8.8,9.0,8.58,8.79,1279049.0,1455669
20200106,8.57,8.97,8.57,8.95,1050103.3,1182781
20200107,8.95,9.4,8.89,9.18,835138.4,901574
20200108,9.21,9.25,9.04,9.25,599957.7,657425
20200109,8.93,9.36,8.93,9.2,417205.3,451952
20200110,9.12,9.22,9.09,9.16,344288.0,377352
20200113,9.16,9.18,8.95,9.05,705533.8,780100
20200114,9.11,9.19,9.03,9.04,275719.8,302710
20200115,9.04,9.12,8.97,9.05,233936.0,258074
20200116,8.99,9.1,8.91,8.91,338493.2,375759
20200117,8.9,9.12,8.77,8.95,694526.6,776186
20200120,8.85,9.1,8.76,9.09,492167.2,553885
20200121,9.09,9.12,8.99,9.09,232217.3,256065
20200122,9.12,9.38,8.89,8.96,460852.1,513301
20200123,9.03,9.41,8.92,9.09,842109.1,926200
20200203,8.64,8.64,8.64,8.64,72230.4,83600
20200204,8.21,8.65,8.21,8.65,964581.7,1146619
20200205,8.65,9.08,8.42,9.0,911841.2,1013099
20200206,9.18,9.2,8.84,8.93,487877.6,544509
20200207,8.88,8.93,8.78,8.85,372071.7,421585
20200210,8.84,8.84,8.66,8.78,388575.0,446000
20200211,8.77,8.84,8.66,8.83,242395.0,277400
20200212,8.8,9.0,8.71,8.9,225097.5,253062
20200213,8.9,8.9,8.61,8.71,342375.6,392100
20200214,8.71,8.71,8.56,8.64,242619.9,281000
20200217,8.65,8.76,8.64,8.68,317444.0,366516
20200218,8.7,8.7,8.5,8.57,489359.9,571016
20200219,8.62,8.8,8.16,8.77,651390.9,770617
20200220,8.7,9.15,8.44,9.02,586812.0,659761
20200221,9.06,9.4,8.86,9.12,617451.5,670299
20200224,9.03,9.32,8.9,9.13,289226.9,318401
20200225,8.98,9.17,8.89,9.08,434823.3,482497
20200226,8.94,9.32,8.94,9.22,912496.7,990798
20200227,9.29,9.39,9.06,9.33,552070.0,595900
20200228,9.15,9.38,9.11,9.22,677434.3,730401
20200302,9.27,9.68,9.23,9.67,1397215.0,1456707
20200303,9.94,9.94,9.56,9.67,627404.8,647110
20200304,9.9,9.94,9.55,9.9,351169.4,360731
