date,open,high,low,close,amount,vol
20191212,4.7,4.76,4.65,4.67,2700613.0,5745010
20191213,4.69,4.85,4.62,4.85,6026245.2,12706956
20191223,5.34,5.34,5.34,5.34,610637.55,1143516
20191224,5.87,5.87,5.73,5.87,13240314.4,22568575
20191225,6.11,6.11,5.35,5.45,39714521.6,69776800
20191226,5.29,6.0,5.25,6.0,23417060.8,41228299
20191227,6.03,6.59,5.9,6.05,48217894.4,77213857
20191230,5.75,6.5,5.55,6.3,33291452.8,54441877
20191231,6.1,6.24,5.88,6.02,22632956.8,37586005
20200102,5.96,6.24,5.89,6.23,22976128.0,37939348
20200103,6.12,6.18,5.98,6.03,16626569.6,27511505
20200106,5.95,5.99,5.76,5.82,14510161.6,24820353
20200107,5.83,5.92,5.76,5.85,10686857.6,18319405
20200108,5.8,5.88,5.57,5.6,10873652.8,19041168
20200109,5.66,5.72,5.58,5.67,6667930.4,11778824
20200110,5.67,5.83,5.58,5.79,7760271.2,13539936
20200113,5.72,5.84,5.69,5.79,6013649.6,10410160
20200114,5.8,5.82,5.66,5.69,6641344.8,11583809
20200115,5.65,5.72,5.57,5.72,5251162.4,9310151
20200116,5.69,5.69,5.51,5.52,4151799.6,7414413
20200117,5.52,5.61,5.47,5.54,3737508.4,6750219
20200120,5.5,5.55,5.42,5.51,3688217.6,6729961
20200121,5.47,5.48,5.35,5.36,3293807.4,6089980
20200122,5.34,5.44,5.32,5.39,2400149.0,4465172
20200123,5.39,5.39,5.0,5.12,3572824.0,6863598
20200203,4.63,4.65,4.61,4.61,1061607.5,2297500
20200204,4.18,4.48,4.18,4.44,4766694.8,10883453
20200205,4.44,4.76,4.42,4.65,6156259.6,13243739
20200206,4.62,4.83,4.62,4.81,4496676.0,9420843
20200207,4.86,5.02,4.71,4.99,6485364.8,13320072
20200210,5.0,5.33,4.85,5.2,7782472.8,15235148
20200211,5.09,5.12,4.88,5.01,5704798.0,11335308
20200212,4.94,5.09,4.94,5.06,2986119.8,5905074
20200213,5.06,5.11,4.97,5.01,3184162.4,6311878
20200214,4.99,5.05,4.91,4.98,2620317.4,5260864
20200217,5.02,5.16,4.98,5.15,3926940.4,7691886
20200218,5.2,5.25,5.1,5.24,4595630.8,8889533
20200219,5.21,5.23,5.11,5.11,3747422.8,7256384
20200220,5.15,5.19,5.03,5.18,3661851.6,7143456
20200221,5.14,5.45,5.14,5.33,7850684.8,14783297
20200224,5.3,5.41,5.25,5.35,6008015.2,11276966
20200225,5.2,5.35,5.01,5.34,6865783.2,13180707
20200226,5.25,5.33,5.1,5.18,5590782.0,10702144
20200227,5.19,5.49,5.15,5.49,12100196.8,22505304
20200228,5.28,5.44,4.94,4.94,7658219.2,14683813
20200302,5.0,5.23,5.0,5.16,4926554.0,9565121
20200303,5.35,5.38,5.0,5.21,6205580.0,11764230
20200304,5.21,5.47,5.15,5.43,8133744.0,15134184
20200305,5.54,5.68,5.41,5.5,8882696.8,16060323
20200306,5.43,5.49,5.38,5.43,5172931.2,9526500
