date,open,high,low,close,amount,vol
20191217,17.56,17.86,17.36,17.75,2855301.6,1619450
20191218,17.75,17.98,17.65,17.75,2155998.4,1211649
20191219,17.79,17.88,17.68,17.8,1543262.3,868700
20191220,17.82,18.08,17.64,17.85,1942134.0,1087900
20191223,17.86,17.95,17.2,17.25,1863980.0,1066600
20191224,17.41,17.8,17.3,17.7,1917269.8,1089650
20191225,17.57,17.85,17.56,17.65,1393413.9,788200
20191226,17.68,17.9,17.56,17.81,1693982.8,952600
20191227,17.8,18.26,17.65,17.99,3304641.2,1829900
20191230,17.8,18.57,17.3,18.5,4044266.0,2226766
20191231,18.5,18.5,18.04,18.26,2649493.6,1454600
20200102,18.31,18.73,18.25,18.73,3238627.0,1751821
20200103,18.64,19.25,18.5,18.91,4557575.2,2412445
20200106,19.2,19.28,18.64,18.7,3216064.4,1705961
20200107,18.68,18.88,18.58,18.69,2890104.4,1547460
20200108,18.68,18.68,18.13,18.14,3517494.4,1919040
20200109,18.25,18.53,18.25,18.46,2158239.2,1171450
20200110,18.59,18.83,18.4,18.7,3090032.6,1656750
20200113,18.76,18.86,18.53,18.8,2133494.4,1140152
20200114,18.82,19.09,18.8,18.98,2805935.0,1479024
20200115,18.96,18.97,18.43,18.8,2101344.6,1123676
20200116,18.96,18.96,18.31,18.58,2110238.6,1136750
20200117,18.58,19.45,18.36,19.1,4622675.2,2448660
20200120,19.2,19.35,18.54,18.94,5003213.2,2655762
20200121,18.89,18.89,18.42,18.44,2779833.2,1499360
20200122,18.2,18.26,17.75,18.1,2534503.2,1407400
20200123,17.86,18.2,17.03,17.34,2174236.6,1230450
20200203,15.61,15.61,15.61,15.61,544632.9,348900
20200204,14.65,15.42,14.42,14.91,4071737.6,2741300
20200205,14.91,15.5,14.9,15.16,2732800.0,1796050
20200206,15.16,15.32,15.04,15.28,2439335.4,1604490
20200207,15.25,15.39,15.1,15.33,2513886.2,1648397
20200210,15.33,15.88,15.13,15.79,2146123.6,1383500
20200211,15.71,16.45,15.6,16.25,3330064.4,2072284
20200212,16.26,16.37,16.1,16.22,1977900.0,1220850
20200213,17.8,17.8,16.22,16.29,3778284.0,2278950
20200214,15.98,16.21,15.85,15.96,2560471.8,1602700
20200217,15.9,16.28,15.85,16.28,2444125.6,1513750
20200218,16.83,17.38,16.71,17.04,5349038.8,3137200
20200219,16.77,17.35,16.77,16.98,3589520.4,2103100
20200220,16.86,17.13,16.67,17.0,3297153.0,1950800
20200221,17.01,17.28,16.89,17.14,2937257.0,1721600
20200224,17.2,17.2,16.91,17.03,2327819.6,1369000
20200225,16.77,16.77,16.18,16.66,2893438.6,1751520
20200226,16.35,17.05,16.35,16.78,4074547.2,2419301
20200227,16.8,16.87,16.65,16.8,1767665.4,1054150
20200228,16.26,16.61,15.81,15.86,2437584.4,1499528
20200302,16.02,16.9,16.02,16.76,2438522.0,1469200
20200303,17.05,17.25,16.52,16.76,2540108.8,1498600
20200304,16.6,18.18,16.6,18.16,7874696.0,4461850
