date,open,high,low,close,amount,vol
20191213,20.24,20.54,19.93,20.5,3653070.4,1795551
20191216,20.51,20.94,20.3,20.82,3207692.4,1558110
20191217,20.83,21.35,20.83,21.25,3511665.2,1658682
20191218,21.31,21.48,21.02,21.4,3044258.8,1431215
20191219,21.44,21.86,21.26,21.83,3646314.0,1692781
20191220,21.83,22.77,21.76,22.7,5420272.4,2422185
20191223,22.85,22.85,22.05,22.2,6115830.8,2735900
20191224,22.2,22.78,22.05,22.72,3678571.2,1638481
20191225,22.75,22.9,20.5,21.11,8860132.0,4073013
20191226,21.4,22.21,21.1,22.18,6306126.4,2888384
20191227,22.08,22.21,21.38,21.74,4683534.8,2146775
20191230,21.74,22.11,21.4,22.0,3537817.2,1616200
20191231,22.0,22.57,21.83,22.54,3589929.6,1607634
20200102,22.69,22.99,22.05,22.17,3555361.2,1592256
20200103,22.17,22.2,21.5,21.7,2255955.8,1035068
20200106,21.7,22.2,21.5,21.83,1858204.4,848325
20200107,21.82,22.04,21.63,21.83,1237870.6,567536
20200108,21.8,21.88,21.35,21.41,1884851.8,873936
20200109,21.45,21.93,21.37,21.62,1990480.6,921700
20200110,21.74,21.94,21.36,21.75,2044322.8,941469
20200113,21.75,22.02,21.42,21.89,1932699.8,889849
20200114,21.9,22.28,21.7,22.01,1653319.8,750441
20200115,22.22,22.37,22.03,22.28,2018437.2,908130
20200116,22.48,22.8,22.3,22.7,3072084.4,1355865
20200117,22.88,22.88,22.11,22.71,3264613.6,1446471
20200120,22.71,22.71,22.05,22.16,2673602.2,1202826
20200121,22.16,22.32,21.27,21.58,2670092.0,1234865
20200122,21.74,22.14,20.71,21.8,2139690.6,991822
20200123,21.72,21.96,20.0,21.07,3345271.4,1588885
20200203,19.91,19.91,18.96,18.96,1248836.7,651500
20200204,18.68,19.8,17.11,18.77,4451006.4,2397551
20200205,18.78,19.2,18.56,18.8,2748767.0,1455969
20200206,18.8,19.1,18.55,19.02,1632214.4,866600
20200207,19.16,19.16,18.73,18.95,1066233.0,565503
20200210,18.95,19.08,18.7,18.9,1085441.3,575100
20200211,19.0,20.79,18.9,20.79,4107294.4,2057043
20200212,20.8,21.8,20.52,21.51,3086528.4,1455327
20200213,22.0,22.0,21.15,21.52,2290629.6,1063540
20200214,21.98,22.78,21.86,22.18,3118627.2,1403852
20200217,22.38,22.38,21.65,22.06,1764377.0,801627
20200218,22.06,22.36,21.81,21.92,1652292.6,751194
20200219,22.09,22.2,21.6,21.87,1476715.9,677000
20200220,21.87,22.1,21.62,21.83,1467322.8,671000
20200221,21.85,22.0,21.72,21.85,1878184.4,859500
20200224,21.88,22.2,21.85,22.1,2545838.2,1155573
20200225,21.99,22.0,21.11,21.7,2777907.4,1290872
20200226,21.47,21.99,21.11,21.34,2657164.8,1234202
20200227,21.34,21.69,21.34,21.5,1523925.7,709000
20200228,21.0,21.26,19.8,20.05,2399294.4,1172169
20200302,20.0,20.64,19.74,20.21,1384055.3,688200
