date,open,high,low,close,amount,vol
20191217,11.2,11.26,11.01,11.15,73455776.0,66028220
20191218,11.14,11.33,11.07,11.21,63865440.0,56972289
20191219,11.28,11.42,11.15,11.24,45841049.6,40692001
20191220,11.24,11.24,10.76,10.76,52745916.8,47968549
20191223,10.61,10.71,10.21,10.24,41465804.8,39524623
20191224,10.28,10.38,10.25,10.34,22109912.0,21439491
20191225,10.33,10.63,10.31,10.52,32232278.4,30712101
20191226,10.5,10.55,10.33,10.49,32756553.6,31421641
20191227,10.53,10.65,10.23,10.25,37164771.2,35572829
20191230,10.17,10.35,9.92,10.3,30536243.2,30033791
20191231,10.36,10.43,10.22,10.31,19352094.4,18757929
20200102,10.43,10.72,10.36,10.63,45154544.0,42731419
20200103,10.66,10.88,10.61,10.76,47141881.6,43827001
20200106,10.66,10.95,10.6,10.85,54454323.2,50271034
20200107,10.89,10.98,10.78,10.97,47244604.8,43404143
20200108,10.9,10.91,10.64,10.69,42601827.2,39494732
20200109,10.88,11.07,10.82,11.03,62345344.0,56855035
20200110,11.08,11.1,10.82,10.88,40184172.8,36758806
20200113,10.89,11.23,10.8,11.23,61661977.6,55643767
20200114,11.28,11.29,11.02,11.05,47767008.0,43032356
20200115,11.05,11.22,11.0,11.11,46990428.8,42244992
20200116,11.13,11.17,10.89,11.02,49015292.8,44422568
20200117,11.04,11.28,11.02,11.03,52545129.6,47191618
20200120,11.03,11.18,10.81,11.18,49782278.4,45214148
20200121,10.96,11.03,10.51,10.53,70057440.0,65171691
20200122,10.45,10.92,10.36,10.82,46449024.0,43656452
20200123,10.6,10.91,10.22,10.39,44531171.2,42084493
20200203,9.35,9.35,9.35,9.35,3241364.4,3466700
20200204,8.42,9.15,8.42,8.88,51820156.8,58442039
20200205,8.97,9.2,8.87,8.95,45542169.6,50425708
20200206,8.97,9.46,8.79,9.45,61459513.6,66898033
20200207,9.46,10.2,9.45,10.03,87734598.4,89546622
20200210,10.0,10.27,9.85,10.0,65357907.2,65272383
20200211,9.9,9.97,9.72,9.77,44433644.8,45288563
20200212,9.73,10.09,9.69,10.07,53392998.4,53700741
20200213,10.08,10.19,9.86,9.96,46303558.4,46326260
20200214,9.97,10.48,9.9,10.24,75993452.8,74072489
20200217,10.3,10.6,10.14,10.58,86191161.6,83060707
20200218,10.59,11.06,10.51,10.95,103327712.0,95126925
20200219,10.85,11.29,10.61,10.95,113743014.4,104041759
20200220,10.88,11.03,10.63,10.99,92456070.4,84984811
20200221,10.91,11.78,10.87,11.54,145646579.2,127733448
20200224,11.67,12.27,11.53,12.13,156654873.6,131542415
20200225,11.75,12.07,11.2,11.89,151770931.2,129222702
20200226,11.63,11.87,11.13,11.26,115323916.8,100062232
20200227,11.37,11.85,11.04,11.62,103343104.0,89678539
20200228,11.07,11.4,10.5,10.53,94676012.8,86332827
20200302,10.72,11.5,10.65,11.37,85662060.8,77275049
20200303,11.59,12.24,11.43,11.68,142661337.6,120915401
20200304,11.65,12.6,11.58,12.34,188628134.4,154441343
