date,open,high,low,close,amount,vol
20191219,4.82,4.88,4.79,4.87,11935166.4,24627067
20191220,4.84,4.85,4.65,4.66,16986612.8,35996508
20191223,4.61,4.76,4.57,4.6,11576578.4,24773800
20191224,4.57,4.63,4.43,4.62,12065482.4,26469360
20191225,4.62,4.65,4.53,4.55,10178832.0,22243400
20191226,4.56,4.58,4.47,4.58,7743953.6,17086900
20191227,4.54,4.61,4.47,4.47,8910164.8,19621320
20191230,4.4,4.47,4.27,4.42,9215339.2,21042220
20191231,4.44,4.5,4.37,4.4,6214306.4,14044800
20200102,4.44,4.56,4.4,4.56,8696315.2,19311745
20200103,4.59,4.62,4.52,4.54,7875623.2,17252800
20200106,4.49,4.61,4.46,4.54,7534492.8,16602700
20200107,4.54,4.65,4.54,4.6,8360018.4,18203901
20200108,4.58,4.88,4.56,4.7,18132188.8,38411418
20200109,4.75,4.85,4.67,4.72,12156803.2,25638660
20200110,4.7,4.73,4.52,4.55,10224917.6,22209674
20200113,4.55,4.59,4.47,4.57,6006746.4,13253095
20200114,4.57,4.6,4.47,4.48,6196499.6,13672708
20200115,4.48,4.5,4.4,4.45,4974756.0,11213664
20200116,4.46,4.48,4.39,4.43,4367795.2,9858452
20200117,4.43,4.62,4.4,4.57,8859466.4,19658460
20200120,4.52,4.69,4.52,4.63,9515012.0,20579671
20200121,4.63,4.63,4.43,4.44,7018970.4,15540344
20200122,4.41,4.58,4.3,4.51,6408487.2,14454438
20200123,4.5,4.61,4.3,4.36,7159698.4,16125000
20200203,3.92,3.92,3.92,3.92,624965.6,1594300
20200204,3.53,3.87,3.53,3.73,8411502.4,22624878
20200205,3.73,3.91,3.73,3.81,6884231.2,17979768
20200206,3.79,3.92,3.74,3.91,7031539.2,18291223
20200207,3.95,3.95,3.82,3.89,6265614.8,16099015
20200210,3.87,3.98,3.84,3.98,5341308.4,13595320
20200211,4.01,4.01,3.93,3.98,5086492.8,12829615
20200212,3.96,4.04,3.94,4.04,6526956.4,16335295
20200213,4.03,4.04,3.91,3.91,6062320.4,15303154
20200214,3.92,3.94,3.84,3.86,5418790.4,13929480
20200217,3.89,4.02,3.88,4.02,7202897.6,18138779
20200218,4.04,4.18,4.0,4.17,8457827.2,20619116
20200219,4.2,4.32,4.15,4.16,8584073.6,20372056
20200220,4.16,4.33,4.13,4.31,8555044.8,20152880
20200221,4.29,4.43,4.29,4.4,9526327.2,21811476
20200224,4.38,4.44,4.31,4.43,10262137.6,23439816
20200225,4.32,4.69,4.28,4.65,23909360.0,52631318
20200226,4.56,4.94,4.51,4.72,30131872.0,63627200
20200227,4.66,4.76,4.46,4.51,14232105.6,31116634
20200228,4.31,4.4,4.07,4.08,13399810.4,31650254
20200302,4.14,4.49,4.14,4.43,12802374.4,29409643
20200303,4.52,4.66,4.43,4.53,12614782.4,27771288
20200304,4.48,4.59,4.41,4.51,7444395.2,16561531
20200305,4.57,4.61,4.47,4.54,9034564.8,19959320
20200306,4.47,4.59,4.47,4.54,8679532.0,19109200
