date,open,high,low,close,amount,vol
20191217,11.0,11.15,10.91,11.1,9252105.6,8387192
20191218,11.11,11.4,11.06,11.22,10253648.8,9104836
20191219,11.23,11.5,11.22,11.49,8475892.0,7434953
20191220,11.55,11.55,11.28,11.28,7027331.2,6174550
20191223,11.34,11.41,11.09,11.09,5412913.2,4813837
20191224,11.15,11.41,11.05,11.36,6681135.6,5933910
20191225,11.44,11.85,11.42,11.68,12895028.0,11054310
20191226,11.8,12.23,11.78,12.0,17113438.4,14266957
20191227,11.98,12.09,11.82,11.84,12195004.0,10203416
20191230,11.81,12.21,11.73,12.1,11438566.4,9511165
20191231,12.05,12.26,12.02,12.18,7936416.8,6534580
20200102,12.26,12.45,12.15,12.17,10894644.0,8884012
20200103,12.18,12.26,11.9,12.08,9718344.0,8059753
20200106,11.8,12.15,11.75,11.96,9583055.2,8009340
20200107,12.09,12.42,12.08,12.19,9197435.2,7515950
20200108,12.02,12.45,11.9,12.04,11428630.4,9384266
20200109,12.39,12.95,12.21,12.85,19557374.4,15491022
20200110,12.82,12.88,12.5,12.54,12273166.4,9705451
20200113,12.54,12.87,12.45,12.8,11123158.4,8774493
20200114,13.0,13.13,12.66,12.69,9856826.4,7676600
20200115,12.6,12.85,12.52,12.75,7324211.2,5763950
20200116,12.73,13.05,12.72,12.84,9388829.6,7290103
20200117,12.9,13.12,12.75,12.78,6307119.2,4886453
20200120,12.67,12.77,12.35,12.5,13267427.2,10598911
20200121,12.28,12.63,12.0,12.16,16490472.0,13436256
20200122,12.01,12.27,11.99,12.05,10205661.6,8441452
20200123,11.9,12.05,11.2,11.4,12834890.4,11043902
20200203,10.26,10.26,10.26,10.26,980958.6,956100
20200204,9.31,10.07,9.31,9.98,15113822.4,15423273
20200205,9.95,10.77,9.91,10.67,13323779.2,12726357
20200206,10.75,10.84,10.48,10.77,9496686.4,8918015
20200207,10.78,11.2,10.54,11.1,10631835.2,9812513
20200210,10.99,11.14,10.82,11.09,7234028.8,6579865
20200211,11.1,11.77,11.09,11.54,12276568.0,10618433
20200212,11.36,11.66,11.31,11.57,7221412.8,6274447
20200213,11.56,11.66,11.4,11.51,5363087.2,4651112
20200214,11.56,11.65,11.37,11.64,5963211.2,5166915
20200217,11.65,11.76,11.49,11.72,8040046.4,6915280
20200218,11.72,11.95,11.49,11.58,9757629.6,8383406
20200219,11.53,12.74,11.47,12.25,21767993.6,17909602
20200220,12.25,12.56,12.09,12.4,17032518.4,13830231
20200221,12.25,12.38,12.1,12.19,11600633.6,9490430
20200224,12.11,12.11,11.84,12.02,8855450.4,7404498
20200225,11.76,11.77,11.33,11.71,10919663.2,9405290
20200226,11.4,11.98,11.38,11.7,8562502.4,7283480
20200227,11.9,12.15,11.75,11.96,9086573.6,7591476
20200228,11.86,12.25,11.72,11.8,13739232.0,11466063
20200302,11.84,12.39,11.84,12.29,10672678.4,8743420
20200303,12.38,12.39,12.11,12.14,10484326.4,8581895
20200304,12.17,12.3,12.0,12.27,8783947.2,7210970
