date,open,high,low,close,amount,vol
20191219,12.42,12.53,12.28,12.5,2539414.6,2047307
20191220,12.51,12.52,12.28,12.29,2002289.8,1619128
20191223,12.32,12.48,12.21,12.22,3028481.2,2449780
20191224,12.23,12.46,12.21,12.41,2053890.4,1664895
20191225,12.42,12.47,12.33,12.41,1234614.5,997044
20191226,12.38,12.48,12.35,12.46,1295441.8,1044263
20191227,12.48,12.63,12.38,12.39,2910227.4,2324641
20191230,12.55,12.74,12.37,12.69,4971027.2,3947203
20191231,12.6,12.72,12.55,12.65,2437416.6,1931589
20200102,12.74,12.82,12.62,12.79,3315131.4,2598429
20200103,12.79,13.07,12.75,12.94,3899178.0,3014196
20200106,12.91,13.05,12.75,12.81,5265371.2,4089100
20200107,12.81,13.12,12.81,13.1,5010579.2,3845043
20200108,13.1,13.1,12.93,12.98,2924579.6,2251822
20200109,13.05,13.29,13.04,13.25,4410054.0,3343711
20200110,13.25,13.33,13.02,13.06,3608705.6,2753530
20200113,13.05,13.28,12.88,13.22,3922851.2,2996011
20200114,13.25,13.25,13.07,13.07,2619405.0,1989530
20200115,13.12,13.12,12.88,12.96,2548009.2,1964884
20200116,13.06,13.06,12.83,12.87,2231930.2,1730341
20200117,12.85,12.93,12.8,12.81,2292164.8,1783348
20200120,12.83,13.03,12.76,12.95,2354774.0,1826918
20200121,12.96,12.99,12.6,12.61,2829198.8,2224317
20200122,12.57,12.95,12.18,12.79,4032207.6,3212563
20200123,12.63,12.74,12.23,12.31,3966607.2,3183839
20200203,11.08,11.08,11.08,11.08,1415691.6,1277700
20200204,10.47,11.33,10.47,11.03,5153002.8,4717773
20200205,11.17,11.35,10.96,11.19,3381707.2,3018514
20200206,11.22,11.28,11.03,11.21,3122051.6,2796531
20200207,11.25,11.27,11.06,11.16,2966005.2,2662402
20200210,11.1,11.34,11.01,11.3,3403986.8,3035986
20200211,11.32,11.47,11.22,11.38,2277137.2,2005290
20200212,11.35,11.43,11.31,11.37,1877142.0,1651827
20200213,11.37,11.42,11.19,11.22,2277297.8,2015866
20200214,11.3,11.79,11.29,11.5,5492437.6,4746153
20200217,11.49,11.69,11.41,11.65,3941602.0,3400653
20200218,11.58,11.78,11.53,11.67,3306048.6,2842240
20200219,11.67,11.74,11.58,11.62,2815497.6,2410879
20200220,11.68,11.95,11.6,11.88,3874711.2,3285870
20200221,11.85,11.94,11.77,11.82,3918542.0,3307365
20200224,11.82,11.86,11.64,11.8,3569466.4,3039048
20200225,11.58,12.09,11.31,12.0,6233224.4,5333504
20200226,12.28,13.2,12.11,12.7,17513868.8,13684516
20200227,12.52,12.75,12.22,12.26,8151363.2,6569836
20200228,11.98,11.98,11.36,11.47,6808342.4,5829358
20200302,11.49,11.93,11.49,11.79,3793370.0,3212382
20200303,11.95,12.03,11.77,11.85,3829000.4,3214096
20200304,11.85,12.14,11.73,12.13,3292170.6,2750719
20200305,12.18,12.28,12.05,12.27,3990220.4,3277912
20200306,12.1,12.31,12.06,12.19,3000108.0,2460747
